Majority.protein.IDs	Gene.names	Razor.unique.peptides	lfq.hdlbp1.dox1	lfq.ctrl2.nodox2	lfq.hdlbp2.dox2	lfq.ctrl3.nodox3	lfq.hdlbp3.dox3	enrichment1	enrichment2	enrichment3	enriched.yes.no	mean_enrichment	mean_lfq
P62318	SNRPD3	2	222900000	142100000	331970000	29759000	159380000	1.56861365235749	2.33617171006334	5.35569071541382	NA	3.08682535927822	238083333.333333
Q9UKY7;Q9UKY7-2	CDV3	8	1.97e+08	0	346180000	0	168870000	NA	NA	NA	enr	NA	237350000
P06730;P06730-3;P06730-2	EIF4E	4	355130000	0	218360000	0	134550000	NA	NA	NA	enr	NA	236013333.333333
O14735	CDIPT	6	471980000	62285000	235130000	65049000	0	7.57774745123224	3.77506622782371	0	NA	3.78427122635198	235703333.333333
Q9HD45	TM9SF3	4	344990000	79106000	302010000	0	56608000	4.36111040881855	3.81778878972518	NA	NA	NA	234536000
Q12792;Q12792-4;Q12792-3	TWF1	10	171260000	30970000	432120000	18630000	94494000	5.52986761381983	13.952857604133	5.07214170692432	NA	8.18495564162572	232624666.666667
O43707	ACTN4	21	321210000	32064000	269830000	0	104650000	10.0177769461078	8.41535678642715	NA	NA	NA	231896666.666667
P11182	DBT	21	426150000	1284400000	267680000	271160000	0	0.331789162254749	0.20840859545313	0	NA	0.18006591923596	231276666.666667
P47755	CAPZA2	5	261450000	141080000	214440000	0	216560000	1.85320385596824	1.51998865891693	NA	NA	NA	230816666.666667
P42566	EPS15	16	372690000	0	286970000	0	31866000	NA	NA	NA	NA	NA	230508666.666667
Q9BUP0;Q9BUP0-2	EFHD1	8	231620000	0	291560000	0	160890000	NA	NA	NA	enr	NA	228023333.333333
P25789;P25789-2	PSMA4	7	326540000	198190000	356430000	0	0	1.64761087844997	1.79842575306524	NA	NA	NA	227656666.666667
Q96T76;Q96T76-8;Q96T76-5;Q96T76-9	MMS19	14	327890000	114830000	273760000	0	81222000	2.85543847426631	2.38404598101541	NA	NA	NA	227624000
O15371	EIF3D	10	297390000	0	296690000	30814000	88777000	NA	NA	2.88106055688973	NA	NA	227619000
P12956	XRCC6	17	292070000	218190000	259380000	42843000	126860000	1.33860396901783	1.18878042073422	2.96104381112434	NA	1.8294760669588	226103333.333333
Q9NVV4;Q9NVV4-2	MTPAP	10	333010000	87511000	232760000	0	108640000	3.80535018454823	2.65977991338232	NA	NA	NA	224803333.333333
Q9Y484;Q9Y484-3;Q9Y484-2	WDR45	7	333220000	0	257440000	0	80310000	NA	NA	NA	NA	NA	223656666.666667
Q9NVI1;Q9NVI1-2;Q9NVI1-1	FANCI	21	414980000	10954000	222600000	0	32630000	37.8838780354208	20.3213438013511	NA	NA	NA	223403333.333333
Q9NWB6;Q9NWB6-2	ARGLU1	6	0	1.074e+09	668930000	0	0	0	0.622839851024209	NA	NA	NA	222976666.666667
O00178	GTPBP1	13	426330000	55953000	192890000	0	4.8e+07	7.61943059353386	3.44735760370311	NA	NA	NA	222406666.666667
P50570-2;P50570	DNM2	20	293630000	120660000	277110000	37665000	96455000	2.43353223935024	2.29661859771258	2.56086552502323	NA	2.43033878736202	222398333.333333
Q9NWS0	PIH1D1	7	258020000	0	252260000	0	154640000	NA	NA	NA	enr	NA	221640000
Q9Y6Y8;Q9Y6Y8-2	SEC23IP	15	2.78e+08	0	320540000	0	62951000	NA	NA	NA	NA	NA	220497000
Q8TBX8;Q8TBX8-3;Q8TBX8-2	PIP4K2C	11	241030000	0	290750000	0	126730000	NA	NA	NA	NA	NA	219503333.333333
Q9Y5B8-2;Q9Y5B8	NME7	11	230780000	0	256950000	0	170600000	NA	NA	NA	enr	NA	219443333.333333
P51812	RPS6KA3	19	399410000	66305000	193480000	20540000	64848000	6.02382927381042	2.91803031445592	3.15715676728335	NA	4.0330054518499	219246000
Q63ZY3-3;Q63ZY3;Q63ZY3-2	KANK2	15	318940000	0	233910000	0	103940000	NA	NA	NA	NA	NA	218930000
O43795-2;O43795	MYO1B	22	376220000	17527000	261480000	6356200	18010000	21.4651680264734	14.9186968676898	2.83345395047355	NA	13.0724396148789	218570000
P26639;P26639-2	TARS	17	193350000	118700000	227990000	0	233370000	1.62889637742207	1.92072451558551	NA	NA	NA	218236666.666667
P49321;P49321-3;P49321-2	NASP	10	2.48e+08	69610000	244950000	0	161740000	3.56270650768568	3.51889096394196	NA	enr	NA	218230000
A6NKD9	CCDC85C	11	227180000	0	315420000	0	111480000	NA	NA	NA	NA	NA	218026666.666667
O75794	CDC123	9	218200000	81942000	282910000	43661000	152150000	2.66285909545776	3.45256400868907	3.48480337142988	NA	3.20007549185891	217753333.333333
P52701;P52701-2	MSH6	25	279960000	103550000	250650000	0	121410000	2.7036214389184	2.42056977305649	NA	NA	NA	217340000
Q9UHD2	TBK1	14	375370000	41080000	234400000	0	37833000	9.13753651411879	5.70593962999026	NA	NA	NA	215867666.666667
O75419-2;O75419;O75419-3	CDC45	13	311160000	102140000	235530000	0	99651000	3.04640689250049	2.30595261405913	NA	NA	NA	215447000
Q15046;Q15046-2	KARS	15	322030000	133100000	217220000	0	105880000	2.41945905334335	1.63200601051841	NA	NA	NA	215043333.333333
Q9BZF1-3;Q9BZF1-2;Q9BZF1	OSBPL8	10	288930000	55369000	244280000	31089000	111120000	5.21826292690856	4.41185500912063	3.5742545594905	NA	4.40145749850656	214776666.666667
Q9NVA2;Q9NVA2-2	SEPT11	10	251550000	0	241730000	0	147410000	NA	NA	NA	enr	NA	213563333.333333
P51116	FXR2	7	337550000	0	301980000	0	0	NA	NA	NA	NA	NA	213176666.666667
Q14498-3;Q14498-2;Q14498	RBM39	11	186750000	223340000	293850000	91217000	158650000	0.836169069580013	1.31570699382108	1.73925912932896	NA	1.29704506424335	213083333.333333
Q93008-1;Q93008;O00507	USP9X;USP9Y	28	338160000	28957000	248010000	4693300	52616000	11.6780053182305	8.56476844977035	11.2108750772378	NA	10.4845496150795	212928666.666667
Q9Y5L0-3;Q9Y5L0;Q9Y5L0-1;Q9Y5L0-5	TNPO3	15	276560000	117240000	242740000	0	119250000	2.35892186966906	2.07045377004435	NA	NA	NA	212850000
Q13162	PRDX4	5	367830000	200650000	183800000	60120000	84796000	1.83319212559183	0.91602292549215	1.41044577511643	NA	1.38655360873347	212142000
O95831-3;O95831;O95831-2;O95831-5	AIFM1	14	430620000	46857000	203110000	0	0	9.19008899417376	4.33467784962759	NA	NA	NA	211243333.333333
P09661	SNRPA1	10	234240000	89054000	296040000	37614000	100840000	2.63031419138949	3.32427515889236	2.68091667995959	NA	2.87850201008048	210373333.333333
P04843	RPN1	18	275600000	90350000	235320000	0	117770000	3.05035971223022	2.60453790813503	NA	NA	NA	209563333.333333
Q5SRE5;Q5SRE5-2	NUP188	23	306550000	34872000	255240000	0	66027000	8.79072034870383	7.31933929800413	NA	NA	NA	209272333.333333
P43686;P43686-2	PSMC4	12	186400000	90493000	251340000	61578000	189990000	2.059827831987	2.77745239963312	3.08535515931014	NA	2.64087846364342	209243333.333333
P30419-2;P30419	NMT1	13	196500000	0	244010000	0	186600000	NA	NA	NA	enr	NA	209036666.666667
Q9Y6R0	NUMBL	10	251210000	0	256330000	0	1.17e+08	NA	NA	NA	NA	NA	208180000
P08865	RPSA	8	166850000	74882000	211620000	35802000	243360000	2.22817232445715	2.82604631286558	6.79738562091503	NA	3.95053475274592	207276666.666667
Q9H583	HEATR1	27	295380000	44074000	235980000	17770000	88492000	6.70191042337886	5.35417706584381	4.97985368598762	NA	5.67864705840343	206617333.333333
P60228	EIF3E	12	252020000	100730000	280180000	74808000	86094000	2.50193586816241	2.78149508587313	1.15086621751684	NA	2.14476572385079	206098000
O14530	TXNDC9	7	116750000	0	430680000	25858000	66770000	NA	NA	2.58217959625648	NA	NA	204733333.333333
Q5T5Y3;Q5T5Y3-3;Q5T5Y3-2	CAMSAP1	15	259090000	0	258710000	0	93485000	NA	NA	NA	NA	NA	203761666.666667
Q99497	PARK7	8	242930000	350340000	278090000	126100000	88329000	0.693412113946452	0.793771764571559	0.700467882632831	NA	0.729217253716947	203116333.333333
Q5T4S7-3;Q5T4S7-4;Q5T4S7;Q5T4S7-2	UBR4	36	246420000	73825000	247370000	14294000	114960000	3.33789366745682	3.35076193701321	8.04253532950889	NA	4.91039697799297	202916666.666667
Q9Y2T2	AP3M1	7	243810000	115010000	208040000	62710000	150150000	2.11990261716372	1.8088861838101	2.39435496730984	NA	2.10771458942789	200666666.666667
Q9NYF8-3;Q9NYF8-2;Q9NYF8;Q9NYF8-4	BCLAF1	10	255240000	59222000	319580000	0	26775000	4.30988484009321	5.39630542703725	NA	NA	NA	200531666.666667
P00338;P00338-3;P00338-5;P00338-2;P00338-4	LDHA	12	186450000	243430000	331720000	127990000	82957000	0.765928603705377	1.36269153350039	0.648152199390577	NA	0.925590778865448	200375666.666667
Q9BRX2	PELO	12	274250000	95304000	221020000	0	105830000	2.87763367749517	2.31910517921598	NA	NA	NA	200366666.666667
Q15942	ZYX	9	113570000	0	198670000	32469000	288690000	NA	NA	8.89125011549478	NA	NA	200310000
Q53H96	PYCRL	7	247090000	120330000	225710000	34841000	125860000	2.05343638327932	1.87575833125571	3.61241066559513	NA	2.51386846004339	199553333.333333
Q9UL25	RAB21	6	312990000	219860000	230010000	89515000	54611000	1.42358773765123	1.04616574183571	0.610076523487684	NA	1.02661000099154	199203666.666667
Q9NVM4-3;Q9NVM4;Q9NVM4-2;Q9NVM4-4	PRMT7	10	197890000	0	232570000	0	166750000	NA	NA	NA	enr	NA	199070000
Q9Y5T5-3;Q9Y5T5-2;Q9Y5T5;Q9Y5T5-4	USP16	11	271790000	0	284660000	0	40178000	NA	NA	NA	NA	NA	198876000
Q9Y4L1	HYOU1	16	256260000	77958000	228820000	0	109970000	3.28715462171939	2.93517021986198	NA	NA	NA	198350000
Q99426	TBCB	5	189080000	0	286620000	0	117990000	NA	NA	NA	NA	NA	197896666.666667
P61081	UBE2M	6	220620000	0	271790000	0	99583000	NA	NA	NA	NA	NA	197331000
Q15773	MLF2	5	211080000	0	232640000	0	147050000	NA	NA	NA	enr	NA	196923333.333333
P43487	RANBP1	3	237770000	0	352430000	0	0	NA	NA	NA	NA	NA	196733333.333333
Q01518;Q01518-2	CAP1	13	331640000	0	258250000	0	0	NA	NA	NA	NA	NA	196630000
O00483	NDUFA4	2	281050000	110470000	209720000	0	98749000	2.54412962795329	1.89843396397212	NA	NA	NA	196506333.333333
Q8WU90	ZC3H15	7	222560000	0	276080000	0	89001000	NA	NA	NA	NA	NA	195880333.333333
O00560-3;O00560	SDCBP	5	128620000	0	218980000	0	238110000	NA	NA	NA	NA	NA	195236666.666667
Q96C92-2;Q96C92;Q96C92-4;Q96C92-3	SDCCAG3	10	312670000	116330000	265270000	0	0	2.68778475027938	2.28032321843033	NA	NA	NA	192646666.666667
Q9UI26;Q9UI26-2	IPO11	13	260990000	71835000	2.41e+08	0	75294000	3.63318716503097	3.35491055891975	NA	NA	NA	192428000
Q7L2H7	EIF3M	8	284580000	125450000	207110000	0	85370000	2.2684734954165	1.6509366281387	NA	NA	NA	192353333.333333
Q16891-2;Q16891;Q16891-3	IMMT	17	225500000	112090000	282100000	0	69187000	2.01177625122669	2.51672762958337	NA	NA	NA	192262333.333333
Q9H089	LSG1	10	244660000	0	233970000	0	92181000	NA	NA	NA	NA	NA	190270333.333333
P38159;P38159-2	RBMX	12	162710000	513030000	230120000	175800000	177100000	0.317154942206109	0.448550767011676	1.00739476678043	NA	0.591033491999406	189976666.666667
Q9BRP8-2;Q9BRP8	WIBG	8	176520000	0	209490000	0	183280000	NA	NA	NA	enr	NA	189763333.333333
Q99714;Q99714-2	HSD17B10	10	303800000	88357000	145880000	42014000	118140000	3.43832407166382	1.65102934685424	2.81191983624506	NA	2.63375775158771	189273333.333333
Q13155	AIMP2	5	294810000	86785000	201610000	49057000	71130000	3.39701561329723	2.32309730944288	1.44994598120554	NA	2.39001963464855	189183333.333333
P54619	PRKAG1	10	272310000	57606000	238900000	0	55810000	4.72711175919175	4.14713745095997	NA	NA	NA	189006666.666667
O43426;O43426-4;O43426-2	SYNJ1	24	193570000	0	245230000	0	127620000	NA	NA	NA	NA	NA	188806666.666667
P33947;P33947-2	KDELR2	4	244080000	78838000	230970000	0	90504000	3.09596894898399	2.92967858139476	NA	NA	NA	188518000
P46459	NSF	18	195630000	231930000	232390000	0	133840000	0.843487259086793	1.00198335704739	NA	NA	NA	187286666.666667
P53621;P53621-2	COPA	23	240740000	151410000	259140000	51521000	59740000	1.5899874512912	1.71151178918169	1.15952718309039	NA	1.48700880785443	186540000
Q8TEU7;Q8TEU7-4;Q8TEU7-5;Q8TEU7-3;Q8TEU7-2	RAPGEF6	16	273420000	7870100	245610000	0	39039000	34.7416170061372	31.2079897332944	NA	NA	NA	186023000
Q9UGI8-2;Q9UGI8	TES	11	207970000	0	270560000	0	79433000	NA	NA	NA	NA	NA	185987666.666667
P39656	DDOST	11	285520000	196280000	181470000	85192000	90823000	1.45465661300183	0.924546566130018	1.06609775565781	NA	1.14843364492989	185937666.666667
Q9UK76;Q9UK76-2;Q9UK76-3	HN1	7	159960000	0	162430000	0	230480000	NA	NA	NA	enr	NA	184290000
Q9Y570;Q9Y570-2	PPME1	10	192840000	0	244520000	0	111830000	NA	NA	NA	NA	NA	183063333.333333
Q658Y4	FAM91A1	13	286660000	0	262290000	0	0	NA	NA	NA	NA	NA	182983333.333333
P20020-6;P20020-3;P20020-4;P20020;P20020-5;P20020-2	ATP2B1	19	307010000	0	241190000	0	0	NA	NA	NA	NA	NA	182733333.333333
Q5VZ89;Q5VZ89-6;Q5VZ89-5;Q5VZ89-2	DENND4C	18	291820000	0	207150000	0	48817000	NA	NA	NA	NA	NA	182595666.666667
Q9UNF1;Q9UNF1-2	MAGED2	16	199580000	89669000	179590000	0	165370000	2.22574133758601	2.00281033579052	NA	NA	NA	181513333.333333
Q9NU22	MDN1	27	324340000	123830000	187830000	27754000	31874000	2.6192360494226	1.5168375999354	1.14844707069251	NA	1.7615069066835	181348000
P36404	ARL2	6	220150000	81821000	216430000	0	107460000	2.69062954498234	2.64516444433581	NA	NA	NA	181346666.666667
Q14980-2;Q14980;Q14980-4;Q14980-3	NUMA1	39	231600000	312230000	203620000	45896000	108670000	0.741760881401531	0.652147455401467	2.36774446574865	NA	1.25388426751722	181296666.666667
Q9UIG0-2;Q9UIG0	BAZ1B	12	247350000	60456000	231960000	0	64553000	4.09140531957126	3.83684001587932	NA	NA	NA	181287666.666667
P31350;P31350-2	RRM2	10	162730000	0	241060000	0	139410000	NA	NA	NA	enr	NA	181066666.666667
P41227;P41227-2	NAA10	8	226950000	91941000	231470000	0	83864000	2.46843084151793	2.51759280408088	NA	NA	NA	180761333.333333
P05386	RPLP1	1	0	0	0	0	542100000	NA	NA	NA	NA	NA	180700000
Q53EZ4;Q53EZ4-2	CEP55	14	226900000	0	260360000	0	53264000	NA	NA	NA	NA	NA	180174666.666667
P54578	USP14	11	196130000	33850000	260550000	0	79127000	5.79409158050222	7.69719350073855	NA	NA	NA	178602333.333333
P51648;P51648-2	ALDH3A2	10	216750000	0	243020000	0	75464000	NA	NA	NA	NA	NA	178411333.333333
P51003;P51003-2	PAPOLA	12	257280000	38301000	231780000	17887000	46070000	6.71731808568967	6.05153912430485	2.5756135741041	NA	5.11482359469954	178376666.666667
Q9H2M9	RAB3GAP2	19	283590000	0	229430000	0	18522000	NA	NA	NA	NA	NA	177180666.666667
P62191	PSMC1	11	245120000	63634000	253030000	0	32401000	3.85202878964076	3.97633340666939	NA	NA	NA	176850333.333333
Q92540-2;Q92540;Q92540-4	SMG7	15	224610000	0	249520000	0	54847000	NA	NA	NA	NA	NA	176325666.666667
P49755	TMED10	5	245810000	116590000	170530000	90199000	109730000	2.10832833004546	1.4626468822369	1.21653233406135	NA	1.59583584878124	175356666.666667
Q13625;Q13625-3;Q13625-2	TP53BP2	19	204220000	0	215320000	0	104310000	NA	NA	NA	NA	NA	174616666.666667
Q15370;Q15370-2	TCEB2	4	254360000	0	269050000	0	0	NA	NA	NA	NA	NA	174470000
Q9BV20-2;Q9BV20	MRI1	7	303640000	36305000	217820000	30615000	0	8.36358628288115	5.9997245558463	0	NA	4.78777027957582	173820000
Q92990;Q92990-2	GLMN	13	209790000	31346000	219700000	0	87955000	6.69271996426976	7.00886875518407	NA	NA	NA	172481666.666667
Q9UI30	TRMT112	4	191220000	0	197320000	0	127500000	NA	NA	NA	NA	NA	172013333.333333
P42694	HELZ	22	255590000	70674000	184810000	0	75238000	3.61646432917339	2.61496448481761	NA	NA	NA	171879333.333333
O00410-2;O00410;O00410-3	IPO5	15	207990000	82259000	224430000	0	82816000	2.52847712712287	2.72833367777386	NA	NA	NA	171745333.333333
Q9UMS4	PRPF19	6	258330000	88779000	157800000	32800000	95076000	2.90980975230629	1.77744736931031	2.89865853658537	NA	2.52863855273399	170402000
P08243-2;P08243;P08243-3	ASNS	12	138650000	52434000	136310000	0	236170000	2.6442766144105	2.59964908265629	NA	NA	NA	170376666.666667
Q9Y2X3	NOP58	10	220930000	96888000	209880000	0	79342000	2.2802617455206	2.16621253405995	NA	NA	NA	170050666.666667
Q6DKI1	RPL7L1	9	218160000	106200000	167160000	144600000	123500000	2.05423728813559	1.57401129943503	0.854080221300138	NA	1.49410960295692	169606666.666667
Q9Y262;Q9Y262-2	EIF3L	10	243530000	83470000	192240000	0	72808000	2.9175751767102	2.30310291122559	NA	NA	NA	169526000
Q6PGP7	TTC37	18	284840000	0	221280000	0	0	NA	NA	NA	NA	NA	168706666.666667
Q70CQ2-3;Q70CQ2-2;Q70CQ2	USP34	2	0	0	0	0	505510000	NA	NA	NA	NA	NA	168503333.333333
O14925;Q5SRD1	TIMM23;TIMM23B	5	221910000	0	165930000	25303000	114600000	NA	NA	4.52910722048769	NA	NA	167480000
Q13177	PAK2	9	208800000	59929000	237570000	0	54656000	3.48412287873984	3.96419095930184	NA	NA	NA	167008666.666667
O75381-2;O75381	PEX14	7	288950000	0	210930000	0	0	NA	NA	NA	NA	NA	166626666.666667
Q96A49	SYAP1	11	168900000	0	226690000	0	103080000	NA	NA	NA	NA	NA	166223333.333333
Q9UBN7;Q9UBN7-2	HDAC6	10	210270000	0	117650000	0	169430000	NA	NA	NA	NA	NA	165783333.333333
Q9BQ39	DDX50	17	198580000	89092000	199380000	0	99371000	2.22893189062991	2.23791137251381	NA	NA	NA	165777000
P31751	AKT2	13	254430000	82224000	242120000	0	0	3.09435201401051	2.94463903483168	NA	NA	NA	165516666.666667
Q9Y217;Q9Y217-2	MTMR6	18	172670000	0	212670000	0	110670000	NA	NA	NA	NA	NA	165336666.666667
Q2NKX8	ERCC6L	14	234300000	0	260580000	0	0	NA	NA	NA	NA	NA	164960000
Q9UN86-2;Q9UN86	G3BP2	6	221510000	0	273070000	0	0	NA	NA	NA	NA	NA	164860000
Q9UDW1;Q9UDW1-2	UQCR10	2	250310000	66171000	204890000	0	38897000	3.78277493161657	3.09637152226806	NA	NA	NA	164699000
Q8WWY3;Q8WWY3-2;Q8WWY3-3	PRPF31	13	237480000	57831000	204700000	0	51856000	4.10644809877056	3.5396240770521	NA	NA	NA	164678666.666667
P04406	GAPDH	11	188680000	534860000	195110000	30500000	110040000	0.352765209587556	0.36478704707774	3.60786885245902	NA	1.44180703637477	164610000
Q969V3-2;Q969V3	NCLN	15	267200000	69445000	162080000	0	60544000	3.84764921880625	2.33393332853337	NA	NA	NA	163274666.666667
P10599;P10599-2	TXN	6	318780000	384060000	170780000	139720000	0	0.830026558350258	0.444670103629641	0	NA	0.424898887326633	163186666.666667
Q9NX20	MRPL16	7	224530000	77704000	184480000	0	80480000	2.88955523525172	2.3741377535262	NA	NA	NA	163163333.333333
P53350	PLK1	13	144070000	34554000	139190000	43221000	206180000	4.16941598657174	4.02818776407941	4.77036625714352	enr	4.32265666926489	163146666.666667
P35611-2;P35611;P35611-3	ADD1	11	230620000	0	149210000	0	104840000	NA	NA	NA	NA	NA	161556666.666667
P49840	GSK3A	9	174790000	60671000	224310000	37920000	82380000	2.88094806414926	3.69715350002472	2.17246835443038	NA	2.91685663953479	160493333.333333
O96013;O96013-2;O96013-4;O96013-3	PAK4	10	190120000	0	196340000	0	94746000	NA	NA	NA	NA	NA	160402000
Q5JSH3-2;Q5JSH3	WDR44	15	280370000	0	145520000	0	55283000	NA	NA	NA	NA	NA	160391000
P51610-2;P51610	HCFC1	17	252230000	57849000	228620000	0	0	4.36014451416619	3.9520129993604	NA	NA	NA	160283333.333333
P42285	SKIV2L2	14	220720000	43538000	195840000	0	61619000	5.06959437732555	4.49813955624971	NA	NA	NA	159393000
Q03001-8;Q03001	DST	19	288330000	0	189280000	0	0	NA	NA	NA	NA	NA	159203333.333333
Q9BRX9	WDR83	4	177850000	0	196010000	0	103380000	NA	NA	NA	NA	NA	159080000
P61011;P61011-2	SRP54	15	203100000	0	200780000	0	72111000	NA	NA	NA	NA	NA	158663666.666667
C9JLW8	FAM195B	4	270150000	0	204680000	0	0	NA	NA	NA	NA	NA	158276666.666667
Q659C4;Q659C4-9;Q659C4-2;Q659C4-3	LARP1B	10	206300000	0	171230000	0	96142000	NA	NA	NA	NA	NA	157890666.666667
Q9P2R7-2;Q9P2R7	SUCLA2	10	190390000	176410000	282530000	73981000	0	1.07924720820815	1.60155319993198	0	NA	0.893600136046709	157640000
Q8WUM0	NUP133	17	210120000	40665000	196680000	0	65450000	5.16709701217263	4.83659166359277	NA	NA	NA	157416666.666667
Q8NBU5-2;Q8NBU5	ATAD1	5	207420000	73510000	139580000	0	124120000	2.8216569174262	1.89878928037002	NA	NA	NA	157040000
O00213-2;O00213;O00213-3	APBB1	7	187690000	0	168860000	0	112430000	NA	NA	NA	NA	NA	156326666.666667
O00418	EEF2K	12	208620000	0	210570000	0	49701000	NA	NA	NA	NA	NA	156297000
Q9NRN7	AASDHPPT	8	143190000	178450000	185810000	69172000	138820000	0.802409638554217	1.04124404595125	2.00688139709709	NA	1.28351169386752	155940000
Q7Z6Z7-2;Q7Z6Z7-3;Q7Z6Z7	HUWE1	22	208860000	79068000	163330000	29780000	94672000	2.64152375170739	2.06569029190064	3.17904633982539	NA	2.62875346114447	155620666.666667
Q5SNT6;Q641Q2-2;Q641Q2;Q9Y4E1-3;Q9Y4E1-6;Q9Y4E1-2;Q9Y4E1;Q9Y4E1-4;Q9Y4E1-5	FAM21B;FAM21A;FAM21C	14	252670000	0	211980000	0	0	NA	NA	NA	NA	NA	154883333.333333
Q14232	EIF2B1	9	169870000	132070000	192500000	0	101120000	1.28621185734838	1.45756038464451	NA	NA	NA	154496666.666667
Q8IX90;Q8IX90-3	SKA3	9	122420000	0	250550000	0	87485000	NA	NA	NA	NA	NA	153485000
P63151;P63151-2	PPP2R2A	12	192220000	210830000	151700000	117130000	115980000	0.911729829720628	0.719537067779728	0.990181849227354	NA	0.873816248909237	153300000
Q8IWS0;Q8IWS0-2	PHF6	4	233570000	87320000	225160000	0	0	2.67487402656894	2.57856161245992	NA	NA	NA	152910000
P22626;P22626-2	HNRNPA2B1	13	153920000	305150000	177260000	76941000	126820000	0.504407668359823	0.580894641979354	1.64827595170325	NA	0.911192754014144	152666666.666667
Q04206-2;Q04206-3;Q04206;Q04206-4	RELA	7	198550000	0	176910000	0	81025000	NA	NA	NA	NA	NA	152161666.666667
Q9UKZ1	CNOT11	9	206750000	0	176480000	0	72039000	NA	NA	NA	NA	NA	151756333.333333
Q9BV44	THUMPD3	10	226530000	62555000	141960000	0	86014000	3.6212932619295	2.26936296059468	NA	NA	NA	151501333.333333
Q3YEC7;Q3YEC7-2;Q3YEC7-3	RABL6	11	266780000	10967000	165240000	0	21671000	24.3257043858849	15.0670192395368	NA	NA	NA	151230333.333333
P24534	EEF1B2	4	173170000	0	136640000	0	142960000	NA	NA	NA	enr	NA	150923333.333333
Q9NUU7;Q9UMR2-2;Q9UMR2-4;Q9UMR2;Q9UMR2-3	DDX19A;DDX19B	13	155530000	121190000	142820000	0	153610000	1.28335671260005	1.17848007261325	NA	NA	NA	150653333.333333
O95757	HSPA4L	14	177460000	0	158920000	0	114310000	NA	NA	NA	NA	NA	150230000
P07737	PFN1	6	131250000	89619000	195660000	0	122900000	1.46453319050648	2.18324239279617	NA	NA	NA	149936666.666667
P13797	PLS3	12	129160000	0	154280000	0	165740000	NA	NA	NA	NA	NA	149726666.666667
Q15047-3;Q15047	SETDB1	5	232740000	0	213010000	0	0	NA	NA	NA	NA	NA	148583333.333333
Q9HB21;Q9HB21-2	PLEKHA1	7	151310000	0	184790000	0	107710000	NA	NA	NA	NA	NA	147936666.666667
O95373	IPO7	10	178340000	59217000	183460000	0	81084000	3.01163517233227	3.09809683030211	NA	NA	NA	147628000
Q9UPY3-2;Q9UPY3	DICER1	17	154190000	0	217410000	0	70913000	NA	NA	NA	NA	NA	147504333.333333
Q92572	AP3S1	7	117740000	57496000	159780000	33472000	163810000	2.0477946291916	2.77897592876026	4.89394120458891	NA	3.24023725418026	147110000
Q9NVE7	PANK4	15	234530000	31448000	165610000	0	41103000	7.45770796235055	5.26615365047062	NA	NA	NA	147081000
Q9UPQ0-10;Q9UPQ0-2;Q9UPQ0-4;Q9UPQ0;Q9UPQ0-9;Q9UPQ0-8;Q9UPQ0-6;Q9UPQ0-5;Q9UPQ0-3	LIMCH1	16	249040000	0	158140000	0	33410000	NA	NA	NA	NA	NA	146863333.333333
P08240;P08240-2	SRPR	11	2.27e+08	57212000	145220000	0	68096000	3.96769908410823	2.53827868279382	NA	NA	NA	146772000
Q12923-3;Q12923;Q12923-4;Q12923-2	PTPN13	23	257400000	0	182670000	0	0	NA	NA	NA	NA	NA	146690000
O95478	NSA2	7	197120000	109170000	174790000	110340000	67868000	1.80562425574792	1.60108088302647	0.615080659778865	NA	1.34059526618442	146592666.666667
Q7Z3U7-2;Q7Z3U7-4;Q7Z3U7;Q7Z3U7-3	MON2	18	160520000	20593000	244770000	0	33440000	7.79488175593648	11.886077793425	NA	NA	NA	146243333.333333
Q9NQC7-2;Q9NQC7	CYLD	9	218790000	0	190590000	0	27395000	NA	NA	NA	NA	NA	145591666.666667
P55039	DRG2	13	234850000	107870000	201580000	109990000	0	2.17715768981181	1.86873087976268	0	NA	1.3486295231915	145476666.666667
P05198	EIF2S1	11	229260000	46302000	204350000	17934000	0	4.95140598678243	4.41341626711589	0	NA	3.12160741796611	144536666.666667
Q86UP2-2;Q86UP2-3;Q86UP2	KTN1	15	254480000	0	178180000	0	0	NA	NA	NA	NA	NA	144220000
P61221	ABCE1	19	174360000	281210000	257790000	110590000	0	0.620034849400804	0.916717044201842	0	NA	0.512250631200882	144050000
P15311	EZR	12	166460000	0	264290000	0	0	NA	NA	NA	NA	NA	143583333.333333
Q9UHV9	PFDN2	5	149460000	0	156450000	0	124210000	NA	NA	NA	NA	NA	143373333.333333
Q5VT25-3;Q5VT25-4;Q5VT25-5;Q5VT25;Q5VT25-2;Q5VT25-6	CDC42BPA	4	0	0	429250000	0	0	NA	NA	NA	NA	NA	143083333.333333
Q15025-2;Q15025;Q15025-3	TNIP1	12	229940000	0	198920000	0	0	NA	NA	NA	NA	NA	142953333.333333
P63010;P63010-2	AP2B1	10	195240000	0	233140000	0	0	NA	NA	NA	NA	NA	142793333.333333
Q86W56-2;Q86W56;Q86W56-3;Q86W56-4	PARG	15	175750000	0	188400000	0	64050000	NA	NA	NA	NA	NA	142733333.333333
Q9BVM2	DPCD	7	177760000	68176000	164980000	0	85401000	2.60736916216851	2.41991316592349	NA	NA	NA	142713666.666667
O95486	SEC24A	11	205910000	66672000	142710000	0	76754000	3.08840292776578	2.14047876169906	NA	NA	NA	141791333.333333
