chr1	start1	stop1	cluster_id1	tc_rep1	strand	uniq_reads1	ccr1	chr2	start2	stop2	cluster_id2	tc_rep2	uniq_reads2	ccr2	overlap_nt	gene	region
chr12	27133506	27133579	CID_958333	22	-	30	27133533	chr12	27133499	27133579	CID_672733	17	25	27133530	73	TM7SF3	CDS
chr12	27135714	27135784	CID_958334	58	-	71	27135757	chr12	27135713	27135784	CID_672736	27	32	27135757	70	TM7SF3	CDS
chr12	27143383	27143472	CID_958345	17	-	21	27143465	chr12	27143421	27143472	CID_672744	5	10	27143462	51	TM7SF3	CDS
chr12	27143479	27143533	CID_958346	8	-	20	27143519	chr12	27143475	27143526	CID_672746	12	17	27143517	47	TM7SF3	CDS
chr12	27152461	27152525	CID_958352	40	-	53	27152475	chr12	27152461	27152532	CID_672753	18	38	27152475	64	TM7SF3	CDS
chr12	27152541	27152612	CID_958353	101	-	153	27152594	chr12	27152544	27152649	CID_672754	75	103	27152594	68	TM7SF3	CDS
chr12	27182045	27182094	CID_958395	8	+	10	27182053	chr12	27182045	27182073	CID_672776	3	5	27182052	28	MED21	UTR3
chr12	27182124	27182157	CID_958396	17	+	18	27182128	chr12	27182099	27182157	CID_672777	11	12	27182128	33	MED21	UTR3
chr12	27908670	27908703	CID_959033	10	+	13	27908671	chr12	27908670	27908703	CID_673222	6	6	27908672	33	MRPS35	UTR3
chr12	28412301	28412372	CID_959437	4	+	9	28412307	chr12	28412298	28412375	CID_673496	3	5	28412308	71	CCDC91	CDS
chr12	28458582	28458708	CID_959463	54	+	80	28458648	chr12	28458582	28458708	CID_673519	35	66	28458648	126	CCDC91	CDS
chr12	29486669	29486715	CID_960146	12	+	17	29486685	chr12	29486673	29486711	CID_673983	12	16	29486685	38	FAR2	CDS
chr12	29786212	29786269	CID_960435	10	-	18	29786246	chr12	29786231	29786269	CID_674200	8	19	29786256	38	TMTC1	CDS
chr12	30868438	30868478	CID_961234	9	-	12	30868469	chr12	30868436	30868478	CID_674757	7	10	30868469	40	CAPRIN2	CDS
chr12	31435252	31435285	CID_961823	12	-	14	31435272	chr12	31435252	31435279	CID_675188	4	6	31435272	27	FAM60A	UTR3
chr12	31659239	31659291	CID_962032	3	-	10	31659257	chr12	31659238	31659291	CID_675345	3	9	31659257	52	Y_RNA	UTR5
chr12	32866191	32866242	CID_962898	25	+	32	32866220	chr12	32866191	32866253	CID_675930	14	21	32866225	51	DNM1L	CDS
chr12	32875480	32875515	CID_962907	8	+	10	32875488	chr12	32875480	32875509	CID_675945	5	8	32875494	29	DNM1L	CDS
chr12	32945231	32945262	CID_963024	8	-	9	32945257	chr12	32945231	32945267	CID_676022	5	8	32945247	31	PKP2	UTR3
chr12	34176969	34177076	CID_963698	63	+	81	34177052	chr12	34176901	34177076	CID_676502	58	68	34177046	107	ALG10	CDS
chr12	34178938	34179026	CID_963701	17	+	27	34179001	chr12	34178981	34179026	CID_676506	8	10	34179006	45	ALG10	CDS
chr12	38712067	38712141	CID_964921	16	+	27	38712084	chr12	38712067	38712141	CID_677395	15	29	38712076	74	ALG10B	CDS
chr12	38712143	38712260	CID_964922	95	+	112	38712218	chr12	38712160	38712260	CID_677397	41	46	38712212	100	ALG10B	CDS
chr12	38716882	38716935	CID_964948	4	+	6	38716902	chr12	38716882	38716942	CID_677422	5	9	38716902	53	ALG10B	CDS
chr12	39745661	39745698	CID_965561	12	-	16	39745690	chr12	39745661	39745695	CID_677876	8	13	39745683	34	KIF21A	CDS
chr12	40422237	40422299	CID_965996	5	-	9	40422260	chr12	40422237	40422294	CID_678217	5	7	40422265	57	SLC2A13	CDS
chr12	41374754	41374832	CID_966634	21	+	40	41374814	chr12	41374792	41374832	CID_678668	18	36	41374810	40	CNTN1	CDS
chr12	42481635	42481666	CID_967325	8	-	9	42481647	chr12	42481635	42481666	CID_679159	7	8	42481649	31	GXYLT1	CDS
chr12	42491745	42491826	CID_967346	56	-	65	42491774	chr12	42491737	42491826	CID_679169	20	29	42491774	81	GXYLT1	CDS
chr12	42499633	42499718	CID_967349	21	-	26	42499690	chr12	42499656	42499728	CID_679171	9	13	42499688	62	GXYLT1	CDS
chr12	42499739	42499781	CID_967350	38	-	46	42499772	chr12	42499745	42499781	CID_679172	15	17	42499772	36	GXYLT1	CDS
chr12	42499802	42499862	CID_967351	20	-	39	42499838	chr12	42499805	42499858	CID_679174	10	15	42499838	53	GXYLT1	CDS
chr12	42503383	42503489	CID_967354	192	-	252	42503450	chr12	42503432	42503489	CID_679177	65	99	42503450	57	GXYLT1	CDS
chr12	42523561	42523650	CID_967371	38	-	53	42523611	chr12	42523582	42523645	CID_679192	9	13	42523615	63	GXYLT1	CDS
chr12	42554348	42554388	CID_967399	18	-	20	42554358	chr12	42554348	42554389	CID_679210	8	9	42554358	40	YAF2	UTR3
chr12	42706638	42706682	CID_967493	8	-	10	42706659	chr12	42706638	42706675	CID_679299	7	8	42706659	37	ZCRB1	UTR3
chr12	42717832	42717864	CID_967507	7	-	10	42717846	chr12	42717833	42717868	CID_679309	4	5	42717854	31	ZCRB1	UTR5
chr12	42768824	42768874	CID_967557	17	+	21	42768848	chr12	42768842	42768874	CID_679343	7	9	42768854	32	PPHLN1	CDS
chr12	42848575	42848626	CID_967651	67	+	122	42848588	chr12	42848534	42848624	CID_679416	27	64	42848588	49	Y_RNA	CDS
chr12	44180542	44180617	CID_968651	7	+	12	44180544	chr12	44180535	44180617	CID_680069	6	9	44180538	75	IRAK4	UTR3
chr12	44338077	44338143	CID_968804	40	+	55	44338092	chr12	44338077	44338137	CID_680153	13	20	44338092	60	TMEM117	CDS
chr12	45108439	45108481	CID_969304	8	-	10	45108459	chr12	45108441	45108517	CID_680499	15	21	45108459	40	NELL2	CDS
chr12	45168544	45168627	CID_969340	27	-	35	45168601	chr12	45168547	45168628	CID_680523	17	24	45168601	80	NELL2	CDS
chr12	45173642	45173763	CID_969350	21	-	29	45173708	chr12	45173694	45173791	CID_680535	10	14	45173706	69	NELL2	CDS
chr12	45761505	45761567	CID_969789	23	+	41	45761543	chr12	45761497	45761563	CID_680855	12	17	45761541	58	ANO6	CDS
chr12	45784215	45784280	CID_969806	9	+	19	45784243	chr12	45784204	45784280	CID_680865	8	15	45784249	65	ANO6	CDS
chr12	45795577	45795671	CID_969810	16	+	21	45795632	chr12	45795600	45795672	CID_680871	10	15	45795635	71	ANO6	CDS
chr12	45795678	45795773	CID_969811	31	+	45	45795719	chr12	45795678	45795790	CID_680872	22	35	45795719	95	ANO6	CDS
chr12	45796855	45796982	CID_969814	26	+	40	45796928	chr12	45796902	45796986	CID_680875	17	25	45796925	80	ANO6	CDS
chr12	45797252	45797317	CID_969817	10	+	17	45797290	chr12	45797220	45797306	CID_680879	5	8	45797295	54	ANO6	CDS
chr12	45803150	45803191	CID_969827	6	+	9	45803156	chr12	45803150	45803212	CID_680881	5	6	45803157	41	ANO6	CDS
chr12	45810482	45810561	CID_969836	25	+	36	45810509	chr12	45810496	45810602	CID_680887	15	20	45810509	65	ANO6	CDS
chr12	45814860	45814992	CID_969844	59	+	85	45814980	chr12	45814867	45814992	CID_680889	45	74	45814982	125	ANO6	CDS
chr12	46244777	46244835	CID_970205	67	+	81	46244803	chr12	46244783	46244841	CID_681107	31	51	46244803	52	ARID2	CDS
chr12	46321039	46321139	CID_970301	31	-	42	46321101	chr12	46321039	46321148	CID_681168	15	16	46321097	100	SCAF11	CDS
chr12	46582350	46582457	CID_970546	6	-	7	46582371	chr12	46582350	46582434	CID_681349	2	7	46582366	84	SLC38A1	UTR3
chr12	46591504	46591599	CID_970564	231	-	313	46591566	chr12	46591502	46591580	CID_681365	112	158	46591566	76	SLC38A1	CDS
chr12	46592408	46592526	CID_970568	109	-	154	46592494	chr12	46592409	46592526	CID_681367	57	88	46592494	117	SLC38A1	CDS
chr12	46594881	46594971	CID_970569	180	-	233	46594943	chr12	46594881	46594962	CID_681370	97	130	46594943	81	SLC38A1	CDS
chr12	46596794	46596872	CID_970572	50	-	65	46596848	chr12	46596794	46596875	CID_681374	33	44	46596848	78	SLC38A1	CDS
chr12	46598084	46598199	CID_970576	97	-	138	46598184	chr12	46598084	46598199	CID_681376	63	88	46598177	115	SLC38A1	CDS
chr12	46598317	46598373	CID_970578	78	-	91	46598353	chr12	46598314	46598375	CID_681378	37	46	46598353	56	SLC38A1	CDS
chr12	46599864	46599943	CID_970580	93	-	135	46599899	chr12	46599863	46599928	CID_681379	51	78	46599899	64	SLC38A1	CDS
chr12	46600937	46601019	CID_970582	57	-	84	46600987	chr12	46600948	46601019	CID_681380	30	53	46600987	71	SLC38A1	CDS
chr12	46753010	46753057	CID_970718	9	-	9	46753012	chr12	46753006	46753048	CID_681482	7	8	46753012	38	SLC38A2	UTR3
chr12	46754497	46754579	CID_970739	16	-	18	46754537	chr12	46754527	46754583	CID_681499	3	5	46754537	52	SLC38A2	UTR3
chr12	46754760	46754993	CID_970742	125	-	179	46754931	chr12	46754860	46754992	CID_681504	17	33	46754931	132	SLC38A2	stop
chr12	46756088	46756172	CID_970746	42	-	80	46756130	chr12	46756088	46756172	CID_681505	8	25	46756130	84	SLC38A2	CDS
chr12	46756815	46756928	CID_970748	2194	-	3660	46756860	chr12	46756818	46756928	CID_681507	574	1009	46756860	110	SLC38A2	CDS
chr12	46757708	46757788	CID_970751	134	-	193	46757751	chr12	46757712	46757786	CID_681509	48	68	46757751	74	SLC38A2	CDS
chr12	46758429	46758484	CID_970753	63	-	92	46758465	chr12	46758433	46758484	CID_681512	20	32	46758465	51	SLC38A2	CDS
chr12	46758890	46758972	CID_970754	69	-	93	46758928	chr12	46758890	46758972	CID_681514	18	25	46758918	82	SLC38A2	CDS
chr12	46764298	46764359	CID_970763	24	-	51	46764326	chr12	46764297	46764359	CID_681525	8	10	46764326	61	SLC38A2	CDS
chr12	46764961	46765014	CID_970766	113	-	178	46764999	chr12	46764961	46765036	CID_681529	38	74	46764999	53	SLC38A2	CDS
chr12	48062765	48062820	CID_971606	15	-	20	48062773	chr12	48062765	48062803	CID_682092	6	11	48062773	38	RPAP3	CDS
chr12	48359873	48359946	CID_972082	24	+	27	48359898	chr12	48359873	48359919	CID_682430	12	16	48359901	46	TMEM106C	CDS
chr12	48366769	48366876	CID_972119	4	-	7	48366820	chr12	48366769	48366841	CID_682454	8	8	48366828	72	COL2A1	UTR3
chr12	48367057	48367336	CID_972122	97	-	136	48367265	chr12	48367015	48367336	CID_682458	98	151	48367264	279	COL2A1	stop
chr12	48367872	48368103	CID_972123	180	-	264	48368087	chr12	48367872	48368109	CID_682459	169	251	48368087	231	COL2A1	CDS
chr12	48370594	48370702	CID_972133	41	-	61	48370626	chr12	48370603	48370695	CID_682465	30	48	48370621	92	COL2A1	CDS
chr12	48370885	48370937	CID_972134	5	-	6	48370921	chr12	48370885	48370934	CID_682467	9	12	48370921	49	COL2A1	CDS
chr12	48371105	48371209	CID_972135	24	-	36	48371129	chr12	48371108	48371213	CID_682468	27	40	48371129	101	COL2A1	CDS
chr12	48371379	48371438	CID_972136	13	-	25	48371418	chr12	48371394	48371438	CID_682469	11	15	48371418	44	COL2A1	CDS
chr12	48371797	48371896	CID_972137	29	-	45	48371807	chr12	48371797	48371896	CID_682471	16	27	48371807	99	COL2A1	CDS
chr12	48372077	48372179	CID_972139	77	-	120	48372095	chr12	48372074	48372174	CID_682472	61	86	48372095	97	COL2A1	CDS
chr12	48372385	48372542	CID_972142	78	-	126	48372514	chr12	48372379	48372541	CID_682473	75	131	48372523	156	COL2A1	CDS
chr12	48373792	48373845	CID_972148	3	-	5	48373806	chr12	48373800	48373834	CID_682476	4	5	48373806	34	COL2A1	CDS
chr12	48374697	48374756	CID_972151	15	-	25	48374710	chr12	48374697	48374747	CID_682478	16	22	48374711	50	COL2A1	CDS
chr12	48375564	48375610	CID_972156	35	-	47	48375594	chr12	48375551	48375611	CID_682482	31	44	48375595	46	COL2A1	CDS
chr12	48375891	48375928	CID_972158	5	-	8	48375907	chr12	48375891	48375944	CID_682483	12	16	48375907	37	COL2A1	CDS
chr12	48376290	48376388	CID_972160	32	-	43	48376302	chr12	48376288	48376388	CID_682484	22	30	48376302	98	COL2A1	CDS
chr12	48377185	48377227	CID_972164	5	-	6	48377212	chr12	48377166	48377219	CID_682487	6	6	48377203	34	COL2A1	CDS
chr12	48378328	48378381	CID_972168	32	-	41	48378350	chr12	48378332	48378381	CID_682492	18	29	48378350	49	COL2A1	CDS
chr12	48379512	48379596	CID_972174	37	-	66	48379552	chr12	48379511	48379594	CID_682497	40	60	48379552	82	COL2A1	CDS
chr12	48379694	48379747	CID_972175	39	-	49	48379726	chr12	48379695	48379746	CID_682498	33	44	48379726	51	COL2A1	CDS
chr12	48380617	48380674	CID_972179	15	-	24	48380657	chr12	48380617	48380674	CID_682501	12	22	48380648	57	COL2A1	CDS
chr12	48380859	48380957	CID_972182	65	-	105	48380887	chr12	48380860	48380957	CID_682504	47	76	48380887	97	COL2A1	CDS
chr12	48381054	48381095	CID_972183	24	-	29	48381078	chr12	48381051	48381095	CID_682505	31	36	48381073	41	COL2A1	CDS
chr12	48386661	48386713	CID_972190	7	-	13	48386672	chr12	48386661	48386716	CID_682516	10	15	48386669	52	COL2A1	CDS
chr12	48387240	48387285	CID_972193	9	-	9	48387254	chr12	48387241	48387285	CID_682519	4	5	48387252	44	COL2A1	CDS
chr12	48387785	48387830	CID_972195	11	-	17	48387817	chr12	48387778	48387826	CID_682521	10	13	48387817	41	COL2A1	CDS
chr12	48389037	48389090	CID_972197	66	-	103	48389061	chr12	48389037	48389090	CID_682524	39	72	48389055	53	COL2A1	CDS
chr12	48389491	48389543	CID_972198	30	-	40	48389531	chr12	48389492	48389540	CID_682525	25	28	48389531	48	COL2A1	CDS
chr12	48390331	48390409	CID_972202	34	-	39	48390352	chr12	48390343	48390401	CID_682528	40	49	48390352	58	COL2A1	CDS
chr12	48391390	48391488	CID_972203	104	-	160	48391439	chr12	48391390	48391488	CID_682530	84	150	48391439	98	COL2A1	CDS
chr12	48391659	48391709	CID_972205	19	-	23	48391674	chr12	48391653	48391705	CID_682531	19	26	48391674	46	COL2A1	CDS
chr12	48499310	48499366	CID_972347	17	-	23	48499329	chr12	48499308	48499366	CID_682641	5	10	48499329	56	SENP1	UTR5
chr12	49086810	49086857	CID_972907	2	-	6	49086821	chr12	49086819	49086850	CID_683022	2	5	49086821	31	CCNT1	stop
chr12	49165576	49165638	CID_973006	16	-	19	49165588	chr12	49165576	49165638	CID_683106	10	10	49165588	62	ADCY6	CDS
chr12	49167251	49167430	CID_973011	58	-	77	49167304	chr12	49167253	49167430	CID_683111	28	42	49167304	177	ADCY6	CDS
chr12	49167723	49167881	CID_973012	41	-	61	49167781	chr12	49167723	49167881	CID_683112	26	32	49167784	158	ADCY6	CDS
chr12	49168481	49168551	CID_973015	10	-	21	49168496	chr12	49168481	49168551	CID_683114	1	5	49168504	70	ADCY6	CDS
chr12	49169749	49169856	CID_973025	23	-	33	49169787	chr12	49169749	49169814	CID_683120	3	12	49169780	65	ADCY6	CDS
chr12	49169998	49170048	CID_973026	4	-	5	49170010	chr12	49170002	49170081	CID_683122	5	5	49170010	46	ADCY6	CDS
chr12	49170211	49170338	CID_973030	25	-	34	49170286	chr12	49170249	49170324	CID_683124	6	7	49170285	75	ADCY6	CDS
chr12	49171207	49171290	CID_973035	7	-	8	49171229	chr12	49171192	49171251	CID_683132	5	5	49171235	44	ADCY6	CDS
chr12	49171447	49171518	CID_973038	18	-	24	49171496	chr12	49171468	49171518	CID_683134	11	11	49171496	50	ADCY6	CDS
chr12	49176359	49176519	CID_973043	84	-	134	49176397	chr12	49176357	49176481	CID_683143	29	51	49176397	122	ADCY6	CDS
chr12	49317231	49317270	CID_973260	4	-	8	49317235	chr12	49317231	49317262	CID_683318	5	5	49317244	31	FKBP11	UTR3
chr12	49317565	49317631	CID_973262	18	-	23	49317602	chr12	49317565	49317628	CID_683320	18	27	49317602	63	FKBP11	CDS
chr12	49318809	49318867	CID_973269	5	-	8	49318826	chr12	49318829	49318869	CID_683327	4	8	49318833	38	FKBP11	CDS
chr12	49319164	49319245	CID_973274	5	-	12	49319178	chr12	49319157	49319213	CID_683330	4	6	49319176	49	FKBP11	start
chr12	49324128	49324184	CID_973293	29	-	30	49324174	chr12	49324132	49324186	CID_683342	13	15	49324174	52	ARF3	CDS
chr12	49330045	49330136	CID_973324	32	-	44	49330055	chr12	49330035	49330097	CID_683366	30	41	49330055	52	ARF3	UTR3
chr12	49330441	49330484	CID_973327	2	-	6	49330469	chr12	49330441	49330473	CID_683372	4	7	49330469	32	ARF3	UTR3
chr12	49331653	49331729	CID_973341	11	-	14	49331707	chr12	49331684	49331730	CID_683386	10	11	49331707	45	ARF3	UTR3
chr12	49332312	49332405	CID_973345	13	-	15	49332387	chr12	49332312	49332402	CID_683394	13	15	49332387	90	ARF3	UTR3
chr12	49332472	49332524	CID_973347	7	-	10	49332515	chr12	49332488	49332550	CID_683396	6	7	49332508	36	ARF3	UTR3
chr12	49333438	49333557	CID_973354	10	-	13	49333467	chr12	49333438	49333548	CID_683404	11	18	49333462	110	ARF3	start
chr12	49334794	49334933	CID_973361	22	-	43	49334863	chr12	49334849	49334933	CID_683410	11	28	49334863	84	ARF3	start
chr12	49444538	49444573	CID_973686	6	-	7	49444545	chr12	49444538	49444573	CID_683621	4	6	49444545	35	MLL2	CDS
chr12	49447023	49447079	CID_973716	8	-	8	49447043	chr12	49447022	49447075	CID_683640	4	5	49447041	52	MLL2	CDS
chr12	49496875	49496942	CID_973825	6	-	7	49496900	chr12	49496875	49496942	CID_683711	6	11	49496892	67	LMBR1L	CDS
chr12	49521762	49522724	CID_973855	2090	-	3381	49522415	chr12	49521580	49522733	CID_683741	1573	2503	49522415	962	TUBA1B	CDS
chr12	49525080	49525176	CID_973865	294	-	377	49525155	chr12	49525081	49525174	CID_683746	193	254	49525155	93	TUBA1B	start
chr12	49579119	49579772	CID_973900	966	-	1499	49579585	chr12	49578813	49579773	CID_683764	637	1000	49579585	653	TUBA1A	stop
chr12	49582780	49582821	CID_973912	10	-	16	49582802	chr12	49582787	49582835	CID_683769	6	8	49582807	34	TUBA1A	UTR5
chr12	49663242	49663412	CID_973974	50	+	62	49663259	chr12	49663242	49663470	CID_683822	53	68	49663257	170	TUBA1C	CDS
chr12	49663614	49663758	CID_973977	68	+	85	49663630	chr12	49663614	49663756	CID_683824	46	64	49663630	142	TUBA1C	CDS
chr12	49666033	49667082	CID_973978	1735	+	2961	49666340	chr12	49666037	49666639	CID_683825	1096	1916	49666340	602	TUBA1C	stop
chr12	49743064	49743108	CID_974131	7	+	13	49743070	chr12	49743068	49743118	CID_683934	7	9	49743078	40	DNAJC22	CDS
chr12	49890663	49890762	CID_974263	45	+	57	49890685	chr12	49890663	49890721	CID_684034	29	38	49890685	58	SPATS2	CDS
chr12	49952407	49952498	CID_974359	4	-	8	49952446	chr12	49952446	49952493	CID_684099	4	7	49952452	47	MCRS1	stop
chr12	49960505	49960541	CID_974391	5	-	6	49960512	chr12	49960505	49960546	CID_684133	3	5	49960512	36	MCRS1	start
chr12	50146754	50146864	CID_974631	133	+	184	50146836	chr12	50146784	50146865	CID_684346	92	126	50146836	80	TMBIM6	start
chr12	50149414	50149539	CID_974634	700	+	877	50149458	chr12	50149418	50149539	CID_684350	623	780	50149458	121	TMBIM6	CDS
chr12	50152008	50152058	CID_974635	46	+	75	50152037	chr12	50152008	50152058	CID_684352	33	46	50152038	50	TMBIM6	CDS
chr12	50155486	50155562	CID_974641	190	+	261	50155505	chr12	50155488	50155562	CID_684357	105	149	50155505	74	TMBIM6	CDS
chr12	50156670	50156778	CID_974644	1672	+	2632	50156709	chr12	50156656	50156784	CID_684358	1375	2126	50156709	108	TMBIM6	stop
chr12	50157361	50157488	CID_974650	24	+	30	50157448	chr12	50157414	50157552	CID_684362	23	30	50157448	74	TMBIM6	UTR3
chr12	50158098	50158195	CID_974657	30	+	41	50158117	chr12	50158102	50158280	CID_684369	22	33	50158117	93	TMBIM6	UTR3
chr12	50158219	50158390	CID_974658	58	+	69	50158329	chr12	50158293	50158389	CID_684370	34	44	50158329	96	TMBIM6	UTR3
chr12	50158549	50158657	CID_974661	84	+	103	50158584	chr12	50158511	50158657	CID_684372	55	66	50158585	108	TMBIM6	UTR3
chr12	50384467	50384563	CID_974971	19	-	27	50384513	chr12	50384502	50384555	CID_684604	4	6	50384506	53	RACGAP1	CDS
chr12	50453556	50453734	CID_975080	66	+	102	50453632	chr12	50453556	50453734	CID_684680	43	71	50453633	178	ASIC1	CDS
chr12	50475599	50475644	CID_975130	4	+	6	50475602	chr12	50475579	50475667	CID_684718	4	8	50475604	45	ASIC1	UTR3
chr12	50476245	50476338	CID_975140	35	+	44	50476290	chr12	50476233	50476366	CID_684728	34	42	50476290	93	ASIC1	UTR3
chr12	50481155	50481195	CID_975167	8	+	10	50481165	chr12	50481155	50481191	CID_684760	6	7	50481164	36	SMARCD1	CDS
chr12	50492935	50492999	CID_975193	21	+	24	50492944	chr12	50492938	50492979	CID_684775	13	17	50492941	41	SMARCD1	UTR3
chr12	50523886	50523956	CID_975253	6	-	6	50523901	chr12	50523863	50523966	CID_684820	4	6	50523910	70	CERS5	UTR3
chr12	50524239	50524278	CID_975259	5	-	9	50524247	chr12	50524239	50524278	CID_684824	2	5	50524251	39	CERS5	UTR3
chr12	50529515	50529620	CID_975276	32	-	34	50529567	chr12	50529544	50529620	CID_684838	13	15	50529567	76	CERS5	CDS
chr12	50529770	50529888	CID_975280	202	-	302	50529799	chr12	50529778	50529851	CID_684840	103	155	50529799	73	CERS5	CDS
chr12	50531532	50531599	CID_975283	58	-	72	50531571	chr12	50531532	50531594	CID_684844	22	32	50531571	62	CERS5	CDS
chr12	50536866	50536978	CID_975291	27	-	29	50536941	chr12	50536895	50536975	CID_684853	7	11	50536942	80	CERS5	CDS
chr12	50870856	50870904	CID_975578	7	+	9	50870858	chr12	50870856	50870904	CID_685051	2	5	50870857	48	LARP4	UTR3
chr12	51068281	51068337	CID_975734	155	+	208	51068319	chr12	51068259	51068328	CID_685166	65	100	51068319	47	DIP2B	CDS
chr12	51326028	51326070	CID_975984	9	+	13	51326048	chr12	51326028	51326070	CID_685332	4	8	51326046	42	METTL7A	UTR3
chr12	51385392	51385455	CID_976038	197	-	282	51385441	chr12	51385386	51385455	CID_685382	109	165	51385441	63	SLC11A2	CDS
chr12	51385982	51386122	CID_976039	60	-	75	51386065	chr12	51385982	51386120	CID_685383	24	36	51386066	138	SLC11A2	CDS
chr12	51390600	51390757	CID_976047	29	-	36	51390613	chr12	51390605	51390751	CID_685394	17	17	51390614	146	SLC11A2	CDS
chr12	51393128	51393186	CID_976050	38	-	42	51393139	chr12	51393128	51393198	CID_685398	26	32	51393147	58	SLC11A2	CDS
chr12	51394103	51394192	CID_976052	21	-	30	51394112	chr12	51394103	51394194	CID_685399	9	15	51394118	89	SLC11A2	CDS
chr12	51449619	51449708	CID_976116	12	+	18	51449654	chr12	51449634	51449704	CID_685448	6	14	51449654	70	LETMD1	stop
chr12	51450133	51450183	CID_976122	35	+	42	51450164	chr12	51450133	51450183	CID_685452	24	32	51450162	50	LETMD1	UTR3
chr12	51634128	51634243	CID_976357	78	+	156	51634199	chr12	51634128	51634243	CID_685635	50	105	51634198	115	DAZAP2	UTR5
chr12	51636488	51636539	CID_976370	12	+	14	51636500	chr12	51636446	51636546	CID_685650	13	24	51636501	51	DAZAP2	UTR3
chr12	51636792	51636855	CID_976373	34	+	37	51636809	chr12	51636792	51636855	CID_685654	10	14	51636809	63	DAZAP2	UTR3
chr12	51753019	51753110	CID_976496	14	-	21	51753058	chr12	51753027	51753097	CID_685751	7	9	51753058	70	GALNT6	CDS
chr12	51771059	51771138	CID_976516	8	-	18	51771097	chr12	51771082	51771138	CID_685767	7	13	51771094	56	GALNT6	CDS
chr12	51868909	51868947	CID_976602	10	+	15	51868916	chr12	51868915	51868954	CID_685827	7	9	51868916	32	SLC4A8	CDS
chr12	52374753	52374794	CID_977184	7	+	12	52374765	chr12	52374753	52374794	CID_686233	4	5	52374765	41	ACVR1B	CDS
chr12	52374806	52374893	CID_977185	26	+	36	52374825	chr12	52374806	52374888	CID_686235	9	18	52374824	82	ACVR1B	CDS
chr12	52374933	52374983	CID_977186	7	+	10	52374957	chr12	52374905	52374968	CID_686237	5	6	52374961	35	ACVR1B	CDS
chr12	52385659	52385706	CID_977199	8	+	10	52385682	chr12	52385670	52385724	CID_686250	5	6	52385681	36	ACVR1B	CDS
chr12	53412582	53412755	CID_978519	42	+	61	53412632	chr12	53412582	53412686	CID_687176	24	38	53412632	104	EIF4B	CDS
chr12	53435724	53435813	CID_978579	19	+	20	53435740	chr12	53435739	53435813	CID_687230	6	8	53435740	74	EIF4B	UTR3
chr12	53675336	53675407	CID_978993	9	+	15	53675358	chr12	53675343	53675407	CID_687539	7	13	53675363	64	ESPL1	CDS
chr12	53679879	53679902	CID_979006	3	+	7	53679892	chr12	53679879	53679907	CID_687547	4	10	53679883	23	ESPL1	CDS
chr12	53683000	53683060	CID_979024	2	+	6	53683012	chr12	53682968	53683082	CID_687558	5	13	53683004	60	ESPL1	CDS
chr12	53693659	53693725	CID_979060	6	+	8	53693660	chr12	53693638	53693706	CID_687597	6	7	53693660	47	C12orf10	CDS
chr12	53701272	53701417	CID_979084	28	-	42	53701284	chr12	53701262	53701353	CID_687618	11	18	53701274	81	AAAS	stop
chr12	53702941	53703016	CID_979096	4	-	6	53702953	chr12	53702941	53703039	CID_687632	3	8	53702944	75	AAAS	CDS
chr12	53708082	53708217	CID_979103	39	-	58	53708090	chr12	53708082	53708217	CID_687637	38	65	53708090	135	AAAS	CDS
chr12	53777278	53777335	CID_979205	10	+	15	53777307	chr12	53777278	53777313	CID_687715	3	7	53777300	35	SP1	CDS
chr12	53848510	53848653	CID_979329	103	+	117	53848639	chr12	53848510	53848653	CID_687788	70	88	53848640	143	RP11-793H13.8	start
chr12	53849671	53849779	CID_979332	37	+	52	53849723	chr12	53849699	53849771	CID_687792	43	50	53849723	72	RP11-793H13.8	CDS
chr12	53854797	53854921	CID_979341	50	+	72	53854889	chr12	53854796	53854924	CID_687801	33	49	53854882	124	RP11-793H13.8	CDS
chr12	53856265	53856351	CID_979343	32	+	41	53856303	chr12	53856265	53856351	CID_687804	30	34	53856298	86	RP11-793H13.8	CDS
chr12	53858556	53858634	CID_979349	30	+	48	53858600	chr12	53858555	53858634	CID_687806	14	31	53858594	78	RP11-793H13.8	CDS
chr12	53861003	53861078	CID_979357	25	+	32	53861050	chr12	53861008	53861078	CID_687813	21	27	53861057	70	RP11-793H13.8	CDS
chr12	53862565	53862617	CID_979360	227	+	339	53862605	chr12	53862531	53862614	CID_687816	125	176	53862605	49	PCBP2	CDS
chr12	53873194	53873306	CID_979377	173	+	217	53873223	chr12	53873203	53873326	CID_687833	94	130	53873223	103	PCBP2	stop
chr12	54058955	54059216	CID_979613	320	-	473	54059163	chr12	54058955	54059216	CID_687984	245	381	54059163	261	ATP5G2	stop
chr12	54062936	54063125	CID_979623	227	-	294	54063083	chr12	54062936	54063123	CID_687987	174	232	54063083	187	ATP5G2	CDS
chr12	54105545	54105572	CID_979692	5	-	6	54105545	chr12	54105545	54105571	CID_688025	6	7	54105545	26	CALCOCO1	UTR3
chr12	54339003	54339051	CID_979932	4	+	13	54339026	chr12	54339014	54339084	CID_688181	3	8	54339021	37	HOXC13	stop
chr12	54449099	54449131	CID_980255	11	+	16	54449103	chr12	54449099	54449131	CID_688433	16	17	54449099	32	HOXC4	UTR3
chr12	54624743	54624815	CID_980546	15	-	24	54624771	chr12	54624761	54624815	CID_688601	6	14	54624767	54	CBX5	UTR3
