Gene.names	Razor...unique.peptides	lfq.hdlbp1	lfq.ctrl2	lfq.hdlbp2	lfq.ctrl3	lfq.hdlbp3	up1	up2	up3
PDHA1	7	53732000	0	66326000	0	24982000	NA	NA	NA
SNRPB2	5	72086000	0	96289000	0	0	NA	NA	NA
SNRNP70	7	67861000	0	67088000	0	0	NA	NA	NA
VIM	41	1.1537e+10	5479600000	7440900000	1180900000	2920800000	NA	NA	NA
RPS17L;RPS17	3	40525000	43612000	0	0	0	NA	NA	NA
RPSA	8	166850000	74882000	211620000	35802000	243360000	NA	NA	enr3
CNP	3	0	0	19502000	0	0	NA	NA	NA
DLD	13	815890000	430090000	732980000	128750000	436460000	NA	NA	enr3
HNRNPA1;HNRNPA1L2	11	366930000	403100000	457690000	201750000	528250000	NA	NA	NA
SNRPA1	10	234240000	89054000	296040000	37614000	100840000	NA	enr2	NA
PARP1	27	503130000	3.12e+08	304350000	108190000	265150000	NA	NA	NA
POLA1	20	160180000	0	134340000	0	0	enr1	enr2	NA
H2AFV;H2AFZ	3	0	0	0	186470000	99098000	NA	NA	NA
HIST1H2AJ;HIST1H2AH;H2AFJ;HIST1H2AD;HIST1H2AG;HIST1H2AC;HIST3H2A;HIST1H2AB	6	2427300000	2249400000	2008200000	1328400000	2853200000	NA	NA	NA
UBA52;RPS27A;UBB;UBC	4	1679700000	1187300000	1711700000	192120000	729960000	NA	NA	enr3
TROVE2	7	89129000	0	67633000	0	0	NA	NA	NA
HLA-C;HLA-B	3	0	0	11062000	0	0	NA	NA	NA
ARAF	13	176120000	76845000	153280000	0	0	NA	NA	NA
HIST1H1E	10	6216700000	6494400000	5006300000	2386300000	6389700000	NA	NA	NA
DLAT	5	80162000	0	62089000	0	0	NA	NA	NA
TXN	6	318780000	384060000	170780000	139720000	0	NA	NA	NA
MAPT	6	60270000	0	73234000	0	40203000	NA	NA	NA
HSPD1	21	660740000	515810000	564050000	77018000	242570000	NA	NA	enr3
HSPA5	29	1.2782e+10	1355500000	9.206e+09	626280000	4974600000	enr1	enr2	enr3
HSPA8	39	6.1131e+10	1.3362e+10	5.1736e+10	6929300000	2.6006e+10	enr1	enr2	enr3
SLC2A1	6	94188000	0	112610000	16983000	79756000	NA	NA	NA
EPB41	30	1883300000	46102000	2084800000	0	504380000	enr1	enr2	enr3
PDHB	6	0	0	0	0	31497000	NA	NA	NA
DBT	21	426150000	1284400000	267680000	271160000	0	NA	NA	NA
PYGB	22	507640000	145700000	477400000	34003000	199760000	enr1	enr2	enr3
BCR	14	144670000	0	115630000	0	0	enr1	NA	NA
TOP1	12	69704000	106300000	93524000	18565000	32750000	NA	NA	NA
TOP2A	25	338620000	197050000	300930000	97508000	151930000	NA	NA	NA
G6PD	7	69030000	0	74179000	0	0	NA	NA	NA
ESRRA	9	101480000	146040000	28699000	26577000	0	NA	NA	NA
PC	63	2.5139e+11	3.5843e+11	1.6941e+11	1.4398e+11	8.7395e+10	NA	NA	NA
MTHFD1	35	1804900000	1341700000	1365100000	858750000	688660000	NA	NA	NA
PRPS2	9	1063400000	4.47e+08	672300000	51136000	181580000	NA	NA	enr3
PABPC1	23	1535900000	642970000	1750500000	210380000	781100000	NA	NA	enr3
PCNA	9	730200000	234420000	717080000	101710000	193550000	enr1	enr2	NA
HARS	4	52938000	0	51017000	0	0	NA	NA	NA
SLC25A4	4	432750000	0	366570000	143900000	232250000	enr1	enr2	NA
SLC25A6	17	2.5627e+10	8601100000	1.9039e+10	1915500000	7938800000	NA	NA	enr3
IMPDH2	3	28829000	0	24620000	0	0	NA	NA	NA
TPR	46	4633800000	56664000	3708300000	0	49422000	enr1	enr2	NA
CKB	8	130390000	0	124050000	0	116520000	NA	NA	NA
XRCC6	17	292070000	218190000	259380000	42843000	126860000	NA	NA	NA
XRCC5	24	620340000	207100000	567500000	73840000	147790000	NA	NA	NA
CYBA	3	132820000	60067000	101890000	0	108290000	NA	NA	NA
EEF2	32	3111600000	1405500000	4282800000	450190000	2295900000	NA	enr2	enr3
PDIA4	3	0	0	14654000	0	0	NA	NA	NA
LCP1	21	327260000	0	417600000	0	239250000	enr1	enr2	enr3
PLS3	12	129160000	0	154280000	0	165740000	NA	enr2	enr3
ETFA	4	0	0	70566000	0	0	NA	NA	NA
GYS1	3	34386000	0	0	0	0	NA	NA	NA
GTF2F2	3	0	0	12023000	0	0	NA	NA	NA
PKM	25	2297700000	1333800000	2164300000	696430000	839030000	NA	NA	NA
HSP90B1	16	172890000	107840000	110450000	0	64915000	NA	NA	NA
CCNB1	5	0	0	39461000	0	0	NA	NA	NA
SNRPB;SNRPN	5	796850000	0	826680000	149580000	305160000	enr1	enr2	NA
HNRNPL	7	114050000	123690000	141720000	0	72830000	NA	NA	NA
DARS	22	977160000	452770000	819870000	272380000	495550000	NA	NA	NA
JUP	15	82761000	219820000	124550000	0	0	NA	NA	NA
GSPT1;GSPT2	13	104370000	0	129430000	0	111770000	NA	NA	NA
EZR	12	166460000	0	264290000	0	0	enr1	enr2	NA
RPS2	13	1.3412e+10	5356400000	1.1311e+10	1534200000	5.908e+09	NA	NA	enr3
DSP	92	1449800000	1935900000	1553900000	113410000	605170000	NA	NA	enr3
NCK1	13	332870000	0	389370000	0	128860000	enr1	enr2	NA
ATP2A2	32	1904800000	527100000	1353300000	67589000	420330000	enr1	NA	enr3
STMN1	6	390060000	0	651240000	0	432140000	enr1	enr2	enr3
CTPS1	19	2.621e+09	612080000	2863600000	218520000	1342900000	enr1	enr2	enr3
DDX5	15	660900000	494930000	680370000	150940000	695980000	NA	NA	enr3
PFKL	12	208200000	108230000	180510000	0	0	NA	NA	NA
PSMC3	5	59595000	0	54597000	0	0	NA	NA	NA
TCP1	26	8922200000	3303600000	6526400000	1710700000	2946200000	NA	NA	NA
PTPN1	7	112130000	0	116070000	0	0	NA	NA	NA
RPL35A	8	3.807e+09	2675200000	3372900000	399230000	360450000	NA	NA	NA
ARF4	5	977270000	246950000	897590000	55844000	208170000	enr1	enr2	enr3
RPL7	14	2686100000	2360200000	3987500000	689230000	992960000	NA	NA	NA
VCL	15	458960000	0	582870000	0	0	enr1	enr2	NA
SON	9	50652000	53863000	41600000	0	30829000	NA	NA	NA
RPL17	8	494090000	567840000	725090000	195770000	144070000	NA	NA	NA
PGAM1;PGAM2	10	312390000	0	296470000	0	515300000	enr1	enr2	enr3
NCL	21	1565400000	916870000	1039800000	328040000	1252600000	NA	NA	enr3
HK1	15	151420000	86570000	159780000	0	0	NA	NA	NA
POLR2C	4	80015000	0	70711000	0	0	NA	NA	NA
POLR2E	4	0	0	35102000	0	0	NA	NA	NA
EIF2AK2	9	120060000	59701000	103190000	33081000	53036000	NA	NA	NA
SRM	3	0	10811000	0	0	0	NA	NA	NA
CSNK2A2	8	56554000	0	47531000	29111000	0	NA	NA	NA
ATP2B1	19	307010000	0	241190000	0	0	enr1	enr2	NA
EIF2S2	4	80467000	0	88480000	0	63037000	NA	NA	NA
BTF3	5	41342000	0	50811000	0	0	NA	NA	NA
RAB3B	3	0	0	16424000	0	0	NA	NA	NA
RAB6A	10	418590000	152880000	308710000	204200000	162400000	NA	NA	NA
MSH3	15	228470000	59728000	111860000	0	70615000	enr1	NA	NA
LMNB1	22	610450000	201310000	572550000	33972000	299500000	enr1	NA	enr3
CDK11A;CDK11B	9	81388000	0	79985000	0	0	NA	NA	NA
ATP6V1B2	3	0	0	20108000	0	0	NA	NA	NA
ATP6V1C1	4	0	14003000	0	0	0	NA	NA	NA
FLNA	112	7.8797e+10	6786900000	7.0308e+10	2229300000	2.8364e+10	enr1	enr2	enr3
NF1	7	42988000	0	0	0	0	NA	NA	NA
VDAC1	11	2637800000	467330000	1614200000	200980000	769600000	enr1	enr2	enr3
PCMT1	9	89708000	87541000	104780000	0	150680000	NA	NA	enr3
FBL	14	1274800000	852900000	1236400000	275030000	500720000	NA	NA	NA
GART	30	2355900000	1137400000	1881200000	442330000	1019700000	NA	NA	NA
PAICS	16	894930000	0	786660000	0	433100000	enr1	enr2	enr3
UBA1	10	61013000	0	70340000	0	53354000	NA	NA	NA
NME2;NME2P1	10	621630000	143810000	974710000	50375000	365170000	enr1	enr2	enr3
HNRNPA2B1	13	153920000	305150000	177260000	76941000	126820000	NA	NA	NA
CBL	8	0	0	39852000	0	0	NA	NA	NA
PRKACB	10	466030000	160030000	465420000	72095000	151200000	NA	NA	NA
UQCRC2	18	831110000	581140000	922630000	358990000	272690000	NA	NA	NA
SFPQ	19	408490000	259170000	352230000	123670000	263690000	NA	NA	NA
TUBG1;TUBG2	15	904660000	426330000	757740000	245900000	422560000	NA	NA	NA
PPIB	4	0	0	25606000	0	0	NA	NA	NA
WARS	23	1590200000	320020000	1867500000	68675000	1457100000	enr1	enr2	enr3
RPS3	18	2.2031e+10	1.0149e+10	1.9056e+10	2774700000	9189400000	NA	NA	enr3
RPS6KB1	4	57296000	0	0	0	18977000	NA	NA	NA
AHCY	9	110440000	88474000	111590000	0	0	NA	NA	NA
CFL1	8	2584600000	1126900000	2198400000	293660000	842830000	NA	NA	NA
EIF4B	27	6428400000	162420000	8379100000	0	2789900000	enr1	enr2	enr3
DTYMK	5	57693000	0	70256000	0	0	NA	NA	NA
RRM1	7	22740000	0	24308000	0	0	NA	NA	NA
NR2F2;NR2F1	5	63783000	0	59724000	0	0	NA	NA	NA
EEF1B2	4	173170000	0	136640000	0	142960000	enr1	enr2	enr3
ACAT1	4	56480000	39400000	63147000	0	0	NA	NA	NA
POLR2A	11	0	0	26592000	0	0	NA	NA	NA
CDK2	14	727630000	329630000	792430000	97466000	407530000	NA	NA	enr3
APC	15	110350000	0	75774000	0	0	NA	NA	NA
ADRBK1	6	52709000	0	65105000	0	42129000	NA	NA	NA
MCM3	25	1113700000	536720000	1070100000	0	582550000	NA	NA	enr3
RPS12	3	1555800000	777310000	1355500000	132430000	565770000	NA	NA	enr3
DNAJB1	13	219830000	0	306970000	0	249500000	enr1	enr2	enr3
ATP5A1	30	2.0668e+10	8357600000	1.5025e+10	2525700000	5970800000	NA	NA	NA
PSMA3	3	36900000	0	0	0	0	NA	NA	NA
PSMA4	7	326540000	198190000	356430000	0	0	NA	NA	NA
DDX6	11	648060000	271940000	724540000	0	236800000	NA	NA	enr3
DNMT1	6	0	25264000	0	0	0	NA	NA	NA
RPL13	9	1942100000	1152600000	2872500000	717920000	1479500000	NA	NA	NA
PTBP1	12	241070000	144520000	159600000	117580000	0	NA	NA	NA
TARS	17	193350000	118700000	227990000	0	233370000	NA	NA	enr3
VARS	20	423060000	228860000	445210000	113210000	95549000	NA	NA	NA
EEF1G	17	2890100000	1325700000	3119500000	483630000	1217400000	NA	NA	NA
AK4	4	24762000	0	24871000	0	0	NA	NA	NA
MARK3	7	71478000	0	92737000	0	0	NA	NA	NA
RPL10	7	3.284e+09	2388500000	3810500000	2.17e+09	958490000	NA	NA	NA
RPA1	6	64250000	52603000	69352000	0	0	NA	NA	NA
CAD	52	2028400000	1095100000	1552200000	367320000	645930000	NA	NA	NA
MAP4	37	1500200000	46444000	1.213e+09	0	530910000	enr1	enr2	enr3
CANX	6	185670000	90842000	133960000	0	76375000	NA	NA	NA
PSMA5	4	21604000	0	16938000	0	0	NA	NA	NA
PSMB5	5	31381000	0	37694000	0	0	NA	NA	NA
ABCD3	22	1441300000	422360000	771670000	115920000	210500000	enr1	NA	NA
NDUFS1	6	51985000	0	58097000	0	0	NA	NA	NA
POLD1	18	202550000	36001000	168970000	22729000	0	enr1	enr2	NA
GTF2E1	3	0	0	27516000	0	0	NA	NA	NA
EPHA2	4	30011000	0	0	0	0	NA	NA	NA
SHC1	5	42084000	0	38210000	0	0	NA	NA	NA
TKT	23	706200000	314450000	672590000	75824000	337550000	NA	NA	enr3
SERPINB3	11	0	239520000	0	0	0	NA	NA	NA
EEF1D	7	787920000	179760000	677240000	0	210170000	enr1	enr2	enr3
PRDX6	13	495880000	228390000	514920000	0	394050000	NA	NA	enr3
C21orf33	5	109130000	0	78358000	0	37639000	NA	NA	NA
PRDX3	4	69550000	68796000	54976000	0	0	NA	NA	NA
RPL12	4	626850000	459100000	608940000	136110000	379540000	NA	NA	NA
CMPK1	4	0	0	36525000	0	0	NA	NA	NA
PDIA3	6	96594000	76380000	78516000	0	0	NA	NA	NA
PPP2R1A	11	120480000	66885000	117770000	0	0	NA	NA	NA
CDC27	7	0	0	89493000	0	0	NA	NA	NA
CDC25C	6	0	0	67647000	0	59195000	NA	NA	NA
NMT1	13	196500000	0	244010000	0	186600000	enr1	enr2	enr3
ADSL	8	61364000	24421000	74726000	0	0	NA	NA	NA
CLIP1	3	0	356280000	0	0	0	NA	NA	NA
ALDH1B1	6	65272000	0	64726000	0	0	NA	NA	NA
POLR2B	11	137090000	41386000	107730000	0	42423000	enr1	NA	NA
GDI2;GDI1	3	0	0	8485800	0	0	NA	NA	NA
S100A7	4	0	108610000	0	0	0	NA	NA	NA
MAT2A	12	474040000	265590000	528360000	96152000	269250000	NA	NA	NA
PRKAR2B	6	41571000	0	35825000	0	0	NA	NA	NA
RRM2	10	162730000	0	241060000	0	139410000	enr1	enr2	enr3
DNAJA1	6	107240000	104690000	117420000	0	16162000	NA	NA	NA
AKT1	4	0	0	17136000	0	0	NA	NA	NA
AKT2	13	254430000	82224000	242120000	0	0	enr1	NA	NA
UQCRC1	4	26349000	40726000	0	0	0	NA	NA	NA
HNRNPH3	7	90343000	106880000	70470000	42986000	0	NA	NA	NA
HNRNPH1	11	1325400000	787860000	873640000	680440000	790520000	NA	NA	NA
YWHAB	3	0	0	0	0	30551000	NA	NA	NA
SFN	3	0	26579000	0	0	0	NA	NA	NA
STIP1	5	0	0	64568000	0	0	NA	NA	NA
PRDX2	8	459020000	432280000	350590000	157300000	174020000	NA	NA	NA
GK;GK3P	6	55763000	0	0	0	0	NA	NA	NA
RPL9	9	8689700000	3065600000	7878200000	595160000	3087600000	NA	NA	enr3
KIF5B	28	947380000	58379000	863540000	0	166060000	enr1	enr2	enr3
DUT	3	0	85614000	0	28380000	59213000	NA	NA	NA
ABCC1	3	0	3258500	0	0	0	NA	NA	NA
KDELR2	4	244080000	78838000	230970000	0	90504000	enr1	NA	NA
TTK	21	424040000	15743000	515040000	0	222820000	enr1	enr2	enr3
MCM4	34	2398500000	844170000	1926300000	274510000	909300000	NA	NA	enr3
MCM5	23	458950000	235380000	625520000	99477000	294040000	NA	NA	NA
MCM7	36	4047200000	1996700000	3.605e+09	882330000	1331400000	NA	NA	NA
SHMT1	5	31342000	0	23769000	0	15613000	NA	NA	NA
SHMT2	4	0	12576000	0	0	0	NA	NA	NA
HSPA4	28	1327200000	0	946070000	0	368330000	enr1	enr2	enr3
PHB	18	2657200000	1005700000	2418800000	320990000	1019800000	NA	NA	enr3
RDX	4	35756000	0	37654000	0	0	NA	NA	NA
RFC4	3	0	0	0	0	19987000	NA	NA	NA
RFC2	6	92065000	0	72058000	0	55063000	NA	NA	NA
RFC1	3	0	0	0	0	5723000	NA	NA	NA
CBS	8	134080000	0	102290000	0	0	NA	NA	NA
KRT9	34	5183900000	2.2906e+10	7.422e+09	740230000	3492900000	NA	NA	enr3
MYH9	56	1423900000	278700000	1084800000	0	710780000	enr1	enr2	enr3
MYH10	5	0	0	32081000	0	0	NA	NA	NA
COPB2	6	25720000	0	31439000	0	0	NA	NA	NA
ADD1	11	230620000	0	149210000	0	104840000	enr1	enr2	NA
FUS	5	112190000	82792000	128200000	119630000	0	NA	NA	NA
NUP214	36	1234500000	254980000	857070000	519460000	742270000	enr1	enr2	NA
DEK	3	0	14144000	0	0	0	NA	NA	NA
CHKA	4	0	0	22282000	0	22044000	NA	NA	NA
KRT2	43	5048400000	1.0856e+10	6.505e+09	1.071e+09	4518200000	NA	NA	enr3
PSMC2	21	425990000	57553000	769930000	21716000	247260000	enr1	enr2	enr3
ARL2	6	220150000	81821000	216430000	0	107460000	NA	NA	NA
ARL3	3	46024000	0	0	0	21420000	NA	NA	NA
MAP2K2	17	600850000	209850000	491240000	0	335670000	NA	NA	enr3
ATP5C1	11	4410600000	1305100000	3600600000	356680000	957600000	enr1	NA	NA
RPL4	13	2680400000	3077800000	3440300000	1433500000	1.964e+09	NA	NA	NA
LONP1	4	28047000	0	0	0	0	NA	NA	NA
GNL1	5	43322000	0	0	0	0	NA	NA	NA
SRP14	3	0	48418000	0	0	0	NA	NA	NA
NUP62	7	147560000	38929000	74669000	34795000	119510000	enr1	NA	NA
TAGLN2	11	1147400000	156310000	1631400000	0	2555800000	enr1	enr2	enr3
SNCA;SNCB	4	83872000	0	95138000	0	0	NA	NA	NA
ETFB	4	102660000	0	104380000	0	0	NA	NA	NA
RBMX	12	162710000	513030000	230120000	175800000	177100000	NA	NA	NA
COIL	8	318820000	69538000	294660000	0	395590000	enr1	enr2	enr3
ATP6V1A	12	110300000	32617000	110880000	0	0	NA	NA	NA
HSPA9	34	1.1483e+10	1.866e+09	7856100000	1300200000	3.731e+09	enr1	enr2	NA
EIF4A3	19	774850000	435300000	741970000	79626000	320110000	NA	NA	enr3
IGHMBP2	6	35903000	0	45778000	0	0	NA	NA	NA
RPS19	5	46914000	87167000	67870000	0	16049000	NA	NA	NA
RPL3	20	7321400000	5657800000	7371100000	1478300000	2109700000	NA	NA	NA
DDOST	11	285520000	196280000	181470000	85192000	90823000	NA	NA	NA
FEN1	5	70889000	0	91147000	0	0	NA	NA	NA
TXLNA	6	98856000	0	112120000	0	0	NA	NA	NA
CCT6A	26	9642100000	4190200000	9468700000	933450000	2178700000	NA	NA	NA
RPL13A	10	3407200000	2549600000	4.714e+09	760240000	1.219e+09	NA	NA	NA
ARL1	6	732420000	0	693480000	114550000	346190000	enr1	enr2	enr3
MLH1	16	109370000	0	70241000	0	0	NA	NA	NA
STAT3	27	769940000	0	951830000	0	715760000	enr1	enr2	enr3
USP8	4	0	0	0	0	23847000	NA	NA	NA
RFC5	5	39326000	0	48406000	0	0	NA	NA	NA
RFC3	3	0	4505200	0	0	0	NA	NA	NA
EIF2S3;EIF2S3L	15	1005400000	537990000	924260000	204590000	248310000	NA	NA	NA
NAA10	8	226950000	91941000	231470000	0	83864000	NA	NA	NA
PPP1R2P3;PPP1R2	3	34248000	0	49192000	0	21786000	NA	NA	NA
CSK	8	87566000	53725000	79192000	0	0	NA	NA	NA
GARS	6	35715000	0	37857000	0	0	NA	NA	NA
IARS	36	1752900000	743880000	1287500000	261980000	674360000	NA	NA	NA
PRKCI	3	47400000	0	29827000	0	12519000	NA	NA	NA
TMPO	14	892990000	17993000	858720000	0	644500000	enr1	enr2	enr3
STAT1	22	1001200000	150910000	1091200000	25576000	451160000	enr1	enr2	enr3
SKIV2L2	14	220720000	43538000	195840000	0	61619000	enr1	enr2	NA
MTOR	5	14640000	0	11025000	0	0	NA	NA	NA
PI4KA	13	82479000	12028000	66121000	0	0	NA	NA	NA
EPS15	16	372690000	0	286970000	0	31866000	enr1	enr2	NA
RPS27	4	2191800000	1241200000	2244700000	0	217290000	NA	NA	enr3
HELZ	22	255590000	70674000	184810000	0	75238000	enr1	NA	NA
NCAPD3	13	124060000	32070000	71531000	0	0	NA	NA	NA
LRPPRC	11	87763000	0	56234000	0	34035000	NA	NA	NA
RPL35	4	0	142540000	0	0	0	NA	NA	NA
MATR3	13	147890000	205100000	139590000	0	0	NA	NA	NA
MSH2	21	796930000	296390000	635600000	0	222040000	NA	NA	enr3
RANBP1	3	237770000	0	352430000	0	0	enr1	enr2	NA
NAMPT	22	1.014e+09	544490000	916060000	300620000	691380000	NA	NA	NA
PSMC4	12	186400000	90493000	251340000	61578000	189990000	NA	NA	enr3
TSFM	8	145820000	60093000	164450000	61032000	0	NA	NA	NA
VDAC2	11	3567900000	780810000	2414700000	368810000	1107600000	enr1	enr2	enr3
ACADSB	7	0	40843000	0	36971000	109120000	NA	NA	NA
USP5	4	0	0	20079000	0	0	NA	NA	NA
MAPK9;MAPK10;MAPK8	4	0	0	6139900	0	0	NA	NA	NA
MAP2K4	3	13289000	0	0	0	0	NA	NA	NA
MKI67	44	497360000	244990000	510760000	0	284780000	NA	NA	enr3
PHKA2	6	43667000	0	32408000	0	0	NA	NA	NA
PHKA1	8	101380000	0	85317000	0	0	NA	NA	NA
RANGAP1	26	3565500000	306780000	4.325e+09	0	1556600000	enr1	enr2	enr3
NOP2	20	317190000	247080000	312990000	102490000	161160000	NA	NA	NA
ATRX	3	0	0	5938900	0	0	NA	NA	NA
CRK	15	973630000	20050000	1969800000	0	1112100000	enr1	enr2	enr3
CRKL	17	1.753e+09	505450000	2226600000	388200000	1923600000	enr1	enr2	enr3
NSF	18	195630000	231930000	232390000	0	133840000	NA	NA	NA
MAP2K3	7	151800000	0	132070000	0	0	enr1	NA	NA
BRCC3	3	90783000	0	89482000	0	0	NA	NA	NA
RPL27A	4	1389700000	1383400000	1.908e+09	1397200000	1294500000	NA	NA	NA
RPL5	10	1046400000	613970000	1237700000	183320000	594170000	NA	NA	enr3
RPL21	8	6191500000	2543200000	5779100000	462130000	866330000	NA	NA	NA
RPL28	9	3411300000	1859200000	2909100000	1427600000	516270000	NA	NA	NA
RPS9	17	1.3841e+10	7.205e+09	1.3974e+10	2446700000	3904900000	NA	NA	NA
RPS10;RPS10P5	6	1.328e+09	133090000	1515900000	0	1474800000	enr1	enr2	enr3
MAP1B	35	1344700000	52866000	923550000	0	257830000	enr1	enr2	enr3
UTRN	25	216260000	0	161760000	0	0	enr1	enr2	NA
IQGAP1	22	194520000	71490000	184790000	0	0	NA	NA	NA
STT3A	11	393350000	150080000	312010000	76933000	170580000	NA	NA	NA
CAPZA2	5	261450000	141080000	214440000	0	216560000	NA	NA	enr3
CAPZB	12	469480000	0	471870000	0	375750000	enr1	enr2	enr3
QARS	28	606290000	259720000	510620000	77204000	180830000	NA	NA	NA
LGALS7	4	0	187820000	0	0	0	NA	NA	NA
ZFP36L2	4	0	0	22342000	0	0	NA	NA	NA
UQCRFS1;UQCRFS1P1	6	0	0	58519000	0	0	NA	NA	NA
ATP5O	5	47933000	45255000	0	0	0	NA	NA	NA
PIP4K2A	3	64752000	0	72072000	0	0	NA	NA	NA
ARCN1	21	1051700000	587080000	1249500000	312720000	800390000	NA	NA	NA
GCLM	5	65496000	0	47196000	32717000	92586000	NA	NA	NA
PSMD8	5	138760000	0	165710000	0	64351000	enr1	enr2	NA
SERPINB4	3	0	19727000	0	0	0	NA	NA	NA
PRRC2A	35	648150000	0	572950000	133080000	695850000	enr1	enr2	enr3
CCT5	25	2381100000	1181500000	2151400000	499060000	953640000	NA	NA	NA
PTDSS1	3	0	0	43285000	0	26671000	NA	NA	NA
CSNK1A1	7	99231000	0	76937000	37169000	44808000	NA	NA	NA
PXN	8	149380000	0	1.72e+08	0	0	enr1	enr2	NA
RPL34	5	1101800000	1037300000	1247700000	177140000	240660000	NA	NA	NA
NASP	10	2.48e+08	69610000	244950000	0	161740000	enr1	enr2	enr3
FASN	109	1.4276e+11	8401400000	1.2876e+11	2654500000	6.5218e+10	enr1	enr2	enr3
DHPS	7	71241000	0	102940000	0	0	NA	NA	NA
CCT3	28	2860300000	1745800000	2819800000	728680000	1702600000	NA	NA	NA
TUFM	22	6907600000	3224500000	5513300000	818930000	2.028e+09	NA	NA	NA
SRP9	3	0	0	0	0	120630000	NA	NA	NA
AARS	6	40083000	0	45975000	0	0	NA	NA	NA
CARS	4	0	0	22591000	0	0	NA	NA	NA
SARS	5	53054000	0	59760000	0	58229000	NA	NA	NA
PPM1F	8	214870000	53458000	132310000	0	46918000	enr1	NA	NA
PRIM1	9	89896000	0	142780000	0	0	NA	enr2	NA
PRIM2	8	47279000	0	58880000	0	45762000	NA	NA	NA
CSNK1E;CSNK1D	9	100350000	50587000	83261000	0	41163000	NA	NA	NA
PSMB2	4	0	32309000	0	0	0	NA	NA	NA
MCM2	21	656160000	448970000	614030000	212400000	269110000	NA	NA	NA
YLPM1	4	0	15085000	0	0	0	NA	NA	NA
TMED10	5	245810000	116590000	170530000	90199000	109730000	NA	NA	NA
NUMB	4	46930000	0	77236000	0	0	NA	NA	NA
CLK3	5	65244000	36231000	49853000	0	0	NA	NA	NA
EIF2B2	5	0	0	0	0	17885000	NA	NA	NA
HINT1	3	128370000	0	163650000	0	0	NA	enr2	NA
NUP153	12	78655000	0	45897000	0	31335000	NA	NA	NA
RANBP2	73	3575100000	269380000	2380200000	48063000	1032900000	enr1	enr2	enr3
TSC2	7	14203000	0	0	0	0	NA	NA	NA
NDUFV1	3	35276000	0	0	0	0	NA	NA	NA
GSK3A	9	174790000	60671000	224310000	37920000	82380000	NA	enr2	NA
GSK3B	4	0	0	0	0	42607000	NA	NA	NA
NT5C2	6	0	0	73682000	0	0	NA	NA	NA
GMPS	18	309870000	236500000	368020000	83905000	171230000	NA	NA	NA
LIG3	6	31433000	10876000	26151000	0	0	NA	NA	NA
MRE11A	35	3.0447e+10	8.764e+09	2.7904e+10	2.37e+09	7.817e+09	enr1	enr2	enr3
SULT1A1;SULT1A2	11	378950000	172960000	412560000	156920000	231840000	NA	NA	NA
EMD	10	295320000	108220000	420940000	51257000	195210000	NA	enr2	enr3
SERPINH1	18	2092100000	636200000	1475300000	370400000	851120000	enr1	NA	NA
PEX5	9	123390000	0	0	0	37243000	NA	NA	NA
DNM2	20	293630000	120660000	277110000	37665000	96455000	NA	NA	NA
HLCS	20	788670000	445670000	973020000	296850000	7.01e+08	NA	NA	NA
KNTC1	13	151030000	0	116740000	0	0	enr1	NA	NA
CDK9	3	0	0	28123000	0	0	NA	NA	NA
LRBA	42	924160000	28482000	491530000	0	103870000	enr1	enr2	NA
RPL14	3	1.193e+09	912570000	1423600000	159220000	524600000	NA	NA	enr3
CCT8	32	2.4847e+10	1290900000	2.861e+10	280480000	1.3716e+10	enr1	enr2	enr3
CCT4	22	4580700000	1692600000	4611700000	546720000	1473200000	NA	NA	NA
PAPOLA	12	257280000	38301000	231780000	17887000	46070000	enr1	enr2	NA
FXR1	20	987890000	0	1306300000	0	471740000	enr1	enr2	enr3
FXR2	7	337550000	0	301980000	0	0	enr1	enr2	NA
RAB5C	7	653800000	219120000	508030000	142580000	149040000	NA	NA	NA
RAB13	4	34716000	0	0	0	0	NA	NA	NA
SMARCA4;SMARCA2	9	36413000	31468000	26842000	0	0	NA	NA	NA
GALK1	7	55243000	24937000	0	0	0	NA	NA	NA
SSR4	5	1157500000	323210000	782780000	147160000	324740000	enr1	NA	NA
HCFC1	17	252230000	57849000	228620000	0	0	enr1	enr2	NA
IRAK1	15	592080000	0	622970000	0	370070000	enr1	enr2	enr3
ALDH3A2	10	216750000	0	243020000	0	75464000	enr1	enr2	NA
HSD17B4	10	84881000	16105000	52746000	10463000	29183000	NA	NA	NA
PSMD7	4	27015000	15746000	33037000	0	0	NA	NA	NA
RPS6KA3	19	399410000	66305000	193480000	20540000	64848000	enr1	NA	NA
NEK4	7	104380000	0	73942000	0	0	NA	NA	NA
HNRNPA3	8	85592000	118950000	96887000	0	98786000	NA	NA	NA
PGD	10	0	0	99787000	0	0	NA	NA	NA
HNRNPM	32	1277800000	1255500000	1008700000	439310000	707290000	NA	NA	NA
KPNA2	10	109180000	47188000	95622000	0	79115000	NA	NA	NA
KPNA1	10	210710000	107450000	191150000	34970000	0	NA	NA	NA
POLR2H	4	125360000	33605000	116010000	0	0	NA	NA	NA
AGFG1	8	145750000	0	186950000	0	50208000	enr1	enr2	NA
HNRNPF	6	122800000	74277000	96523000	0	85181000	NA	NA	NA
STAT2	6	76969000	0	87967000	0	36586000	NA	NA	NA
MSH6	25	279960000	103550000	250650000	0	121410000	NA	NA	NA
KIF11	16	501920000	39682000	395370000	0	99825000	enr1	enr2	NA
HK2	3	0	0	0	0	4471500	NA	NA	NA
CAPZA1	9	391710000	0	409780000	0	172650000	enr1	enr2	enr3
