gene_name	gene_id	annotation	tc_CDS	uniq_reads_CDS	cluster_count_CDS	tc_UTR3	uniq_reads_UTR3	cluster_count_UTR3	tc_UTR5	uniq_reads_UTR5	cluster_count_UTR5	tc_transcript	uniq_transcript	cluster_count_transcript
ICAM5	ENSG00000105376.4	protein_coding	76	98	6	NA	NA	NA	NA	NA	NA	76	98	6
SFPQ	ENSG00000116560.6	protein_coding	62	91	2	14	17	2	NA	NA	NA	76	108	4
TARS	ENSG00000113407.9	protein_coding	76	109	4	NA	NA	NA	NA	NA	NA	76	109	4
UBE2N	ENSG00000177889.5	protein_coding	NA	NA	NA	6	7.5	1	NA	NA	NA	76	116	3
ARMC9	ENSG00000135931.13	protein_coding	75.5	97.5	2	NA	NA	NA	NA	NA	NA	75.5	97.5	2
DERL2	ENSG00000072849.6	protein_coding	62	94.5	1	13.5	17	1	NA	NA	NA	75.5	111.5	2
GNPAT	ENSG00000116906.7	protein_coding	75.5	97	2	NA	NA	NA	NA	NA	NA	75.5	97	2
MMP15	ENSG00000102996.4	protein_coding	75.5	104	3	NA	NA	NA	NA	NA	NA	75.5	104	3
ALG6	ENSG00000088035.11	protein_coding	75	106	6	NA	NA	NA	NA	NA	NA	75	106	6
CDH4	ENSG00000179242.11	protein_coding	75	106.5	4	NA	NA	NA	NA	NA	NA	75	106.5	4
DHRS3	ENSG00000162496.4	protein_coding	75	119.5	3	NA	NA	NA	NA	NA	NA	75	119.5	3
GSK3A	ENSG00000105723.7	protein_coding	75	112.5	4	NA	NA	NA	NA	NA	NA	75	112.5	4
LITAF	ENSG00000189067.8	protein_coding	NA	NA	NA	29.5	36	1	NA	NA	NA	75	99.5	2
SDCBP	ENSG00000137575.7	protein_coding	32	53	2	33	46.5	1	NA	NA	NA	75	115	4
TIMP2	ENSG00000035862.8	protein_coding	70.5	109.5	3	NA	NA	NA	4.5	8	1	75	117.5	4
WRB	ENSG00000182093.10	protein_coding	42.5	61.5	3	27	42.5	1	NA	NA	NA	75	110.5	5
AP3D1	ENSG00000065000.11	protein_coding	69.5	98.5	5	5	10.5	1	NA	NA	NA	74.5	109	6
GLYR1	ENSG00000140632.12	protein_coding	8.5	11	1	66	76.5	2	NA	NA	NA	74.5	87.5	3
RFC2	ENSG00000261911.2	protein_coding	66.5	89.5	2	NA	NA	NA	NA	NA	NA	74.5	100.5	3
RUVBL1	ENSG00000175792.7	protein_coding	40	62.5	2	34.5	94.5	2	NA	NA	NA	74.5	157	4
SKP2	ENSG00000145604.11	protein_coding	62	82	3	NA	NA	NA	NA	NA	NA	74.5	97	4
SLC18B1	ENSG00000146409.6	protein_coding	74.5	102	3	NA	NA	NA	NA	NA	NA	74.5	102	3
SNRPF	ENSG00000139343.6	protein_coding	74.5	111	1	NA	NA	NA	NA	NA	NA	74.5	111	1
TRIP6	ENSG00000087077.7	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	74.5	108	1
UGCG	ENSG00000148154.5	protein_coding	74.5	111.5	3	NA	NA	NA	NA	NA	NA	74.5	111.5	3
CCT4	ENSG00000115484.10	protein_coding	21.5	29.5	3	38.5	49.5	2	14	22	1	74	101	6
ENSA	ENSG00000143420.13	protein_coding	NA	NA	NA	57	85.5	2	NA	NA	NA	74	110.5	4
HDAC1	ENSG00000116478.7	protein_coding	NA	NA	NA	NA	NA	NA	71.5	91.5	4	74	98	5
NDUFB3	ENSG00000119013.4	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	74	90.5	1
RP6-24A23.7	ENSG00000261409.1	sense_overlapping	NA	NA	NA	51	60.5	2	NA	NA	NA	74	94	3
TRA2A	ENSG00000164548.6	protein_coding	4	8.5	1	NA	NA	NA	70	91.5	2	74	100	3
UGGT2	ENSG00000102595.14	protein_coding	74	104.5	5	NA	NA	NA	NA	NA	NA	74	104.5	5
DCBLD2	ENSG00000057019.11	protein_coding	69.5	105.5	5	4	5.5	1	NA	NA	NA	73.5	111	6
NEDD8-MDP1	ENSG00000255526.2	protein_coding	NA	NA	NA	8.5	11	1	NA	NA	NA	73.5	100.5	2
POR	ENSG00000127948.9	protein_coding	38	62	3	NA	NA	NA	14	23	2	73.5	114.5	7
SCPEP1	ENSG00000121064.8	protein_coding	73.5	111	5	NA	NA	NA	NA	NA	NA	73.5	111	5
SNX2	ENSG00000205302.2	protein_coding	NA	NA	NA	NA	NA	NA	8.5	12.5	1	73.5	106.5	2
STARD3	ENSG00000131748.11	protein_coding	73.5	106.5	4	NA	NA	NA	NA	NA	NA	73.5	106.5	4
TMEM69	ENSG00000159596.6	protein_coding	73.5	113.5	3	NA	NA	NA	NA	NA	NA	73.5	113.5	3
UNG	ENSG00000076248.6	protein_coding	51.5	75.5	4	NA	NA	NA	NA	NA	NA	73.5	117	5
USP9X	ENSG00000124486.8	protein_coding	38	46	3	6	7	1	29.5	38.5	1	73.5	91.5	5
ALG10	ENSG00000139133.2	protein_coding	73	93	2	NA	NA	NA	NA	NA	NA	73	93	2
CKS2	ENSG00000123975.4	protein_coding	NA	NA	NA	17	21	1	NA	NA	NA	73	91.5	2
GALNT1	ENSG00000141429.9	protein_coding	73	98.5	6	NA	NA	NA	NA	NA	NA	73	98.5	6
GART	ENSG00000159131.12	protein_coding	65.5	104	9	7.5	10	1	NA	NA	NA	73	114	10
RP11-84A19.4	ENSG00000269967.1	lincRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73	116	1
SGCE	ENSG00000127990.11	protein_coding	48.5	59.5	3	24.5	33	1	NA	NA	NA	73	92.5	4
AZIN1	ENSG00000155096.9	protein_coding	4	7	1	5	6	1	4.5	6.5	1	72.5	107.5	4
FAF2	ENSG00000113194.8	protein_coding	72.5	104.5	3	NA	NA	NA	NA	NA	NA	72.5	104.5	3
FARSA	ENSG00000179115.6	protein_coding	31.5	56.5	2	41	59.5	1	NA	NA	NA	72.5	116	3
MLST8	ENSG00000167965.13	protein_coding	66	96	2	6.5	9	1	NA	NA	NA	72.5	105	3
RB1	ENSG00000139687.9	protein_coding	72.5	108	5	NA	NA	NA	NA	NA	NA	72.5	108	5
REEP4	ENSG00000168476.7	protein_coding	72	146.5	1	NA	NA	NA	NA	NA	NA	72	146.5	1
SMG5	ENSG00000198952.7	protein_coding	NA	NA	NA	72	76	1	NA	NA	NA	72	76	1
CTNNA1	ENSG00000044115.16	protein_coding	64.5	77	5	7	11.5	1	NA	NA	NA	71.5	88.5	6
DIS3	ENSG00000083520.10	protein_coding	71.5	108.5	3	NA	NA	NA	NA	NA	NA	71.5	108.5	3
NDUFAB1	ENSG00000004779.5	protein_coding	71.5	91.5	2	NA	NA	NA	NA	NA	NA	71.5	91.5	2
NUDT19	ENSG00000213965.3	protein_coding	46.5	63	1	25	31	2	NA	NA	NA	71.5	94	3
RBX1	ENSG00000100387.8	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	71.5	88	1
RNFT2	ENSG00000135119.10	protein_coding	55.5	89.5	4	16	19.5	2	NA	NA	NA	71.5	109	6
SOD1	ENSG00000142168.10	protein_coding	71.5	96	4	NA	NA	NA	NA	NA	NA	71.5	96	4
SRPR	ENSG00000182934.7	protein_coding	9.5	11.5	1	NA	NA	NA	NA	NA	NA	71.5	89	2
EPHX4	ENSG00000172031.6	protein_coding	71	88	4	NA	NA	NA	NA	NA	NA	71	88	4
HEBP2	ENSG00000051620.6	protein_coding	71	95.5	2	NA	NA	NA	NA	NA	NA	71	95.5	2
IDS	ENSG00000267816.1	protein_coding	NA	NA	NA	42.5	50	2	28.5	37	2	71	87	4
IK	ENSG00000113141.11	protein_coding	47.5	61	1	23.5	31.5	1	NA	NA	NA	71	92.5	2
MAPK3	ENSG00000102882.7	protein_coding	59	89.5	3	12	19	1	NA	NA	NA	71	108.5	4
PAF1	ENSG00000006712.10	protein_coding	71	116.5	2	NA	NA	NA	NA	NA	NA	71	116.5	2
SRSF6	ENSG00000124193.10	protein_coding	36	52.5	1	24	31.5	2	NA	NA	NA	71	99.5	4
TUFM	ENSG00000178952.4	protein_coding	71	96.5	4	NA	NA	NA	NA	NA	NA	71	96.5	4
TXNRD1	ENSG00000198431.11	protein_coding	18.5	25	1	48	61	2	NA	NA	NA	71	93	4
EFTUD2	ENSG00000108883.8	protein_coding	64.5	97.5	4	6	7.5	1	NA	NA	NA	70.5	105	5
ERLIN2	ENSG00000147475.10	protein_coding	42	63.5	2	28.5	34	1	NA	NA	NA	70.5	97.5	3
PRKACA	ENSG00000072062.9	protein_coding	54.5	70.5	3	16	19	2	NA	NA	NA	70.5	89.5	5
ACIN1	ENSG00000100813.10	protein_coding	70	115.5	3	NA	NA	NA	NA	NA	NA	70	115.5	3
C1orf85	ENSG00000198715.7	protein_coding	47.5	81	3	22.5	43.5	1	NA	NA	NA	70	124.5	4
CASP2	ENSG00000106144.15	protein_coding	NA	NA	NA	70	79	3	NA	NA	NA	70	79	3
PGK1	ENSG00000269666.1	protein_coding	6	7	1	27.5	39.5	1	NA	NA	NA	70	107	3
RPS21	ENSG00000171858.13	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	89.5	3
RPL18A	ENSG00000105640.8	protein_coding	69.5	98.5	2	NA	NA	NA	NA	NA	NA	69.5	98.5	2
TYMS	ENSG00000176890.11	protein_coding	46	68	5	NA	NA	NA	NA	NA	NA	69.5	95.5	6
VLDLR	ENSG00000147852.11	protein_coding	69.5	103	4	NA	NA	NA	NA	NA	NA	69.5	103	4
ZC3HAV1	ENSG00000105939.8	protein_coding	37	57.5	1	32.5	44.5	4	NA	NA	NA	69.5	102	5
ZNF444	ENSG00000167685.10	protein_coding	NA	NA	NA	69.5	73.5	1	NA	NA	NA	69.5	73.5	1
MFGE8	ENSG00000140545.10	protein_coding	56	88.5	2	13	14.5	2	NA	NA	NA	69	103	4
PSMD1	ENSG00000173692.8	protein_coding	69	93.5	1	NA	NA	NA	NA	NA	NA	69	93.5	1
RCN2	ENSG00000117906.9	protein_coding	54.5	70	4	14.5	19.5	1	NA	NA	NA	69	89.5	5
EIF3H	ENSG00000147677.6	protein_coding	52	81	3	11.5	12	1	NA	NA	NA	68.5	98.5	5
NAAA	ENSG00000138744.10	protein_coding	49.5	72	4	NA	NA	NA	NA	NA	NA	68.5	98	5
NDUFS2	ENSG00000158864.8	protein_coding	68.5	91	5	NA	NA	NA	NA	NA	NA	68.5	91	5
NETO2	ENSG00000171208.5	protein_coding	68.5	91	4	NA	NA	NA	NA	NA	NA	68.5	91	4
PPIA	ENSG00000196262.9	protein_coding	46	72.5	1	8.5	12	1	NA	NA	NA	68.5	101.5	3
TRIM24	ENSG00000122779.12	protein_coding	68.5	132	2	NA	NA	NA	NA	NA	NA	68.5	132	2
HCFC1	ENSG00000268768.1	protein_coding	53	80.5	5	15	20.5	2	NA	NA	NA	68	101	7
ITGAV	ENSG00000138448.7	protein_coding	68	92.5	5	NA	NA	NA	NA	NA	NA	68	92.5	5
NUP205	ENSG00000155561.10	protein_coding	57	83	4	4.5	9.5	1	6.5	9.5	1	68	102	6
QARS	ENSG00000172053.10	protein_coding	68	95	4	NA	NA	NA	NA	NA	NA	68	95	4
RPL3	ENSG00000100316.11	protein_coding	61.5	88	3	NA	NA	NA	NA	NA	NA	68	98.5	4
SLC35A5	ENSG00000138459.4	protein_coding	58.5	84	3	9.5	14	1	NA	NA	NA	68	98	4
ATP1B1	ENSG00000143153.8	protein_coding	56.5	91.5	3	NA	NA	NA	5.5	17	1	67.5	118	5
DPYSL2	ENSG00000092964.12	protein_coding	35.5	46	4	8.5	12.5	1	NA	NA	NA	67.5	91.5	6
GNG4	ENSG00000168243.6	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.5	89	1
LPCAT2	ENSG00000087253.7	protein_coding	67.5	90.5	3	NA	NA	NA	NA	NA	NA	67.5	90.5	3
MIR3620	ENSG00000264944.1	miRNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.5	106	1
MIR4761	ENSG00000265087.1	miRNA	67.5	95.5	1	NA	NA	NA	NA	NA	NA	67.5	95.5	1
NUP98	ENSG00000110713.11	protein_coding	52.5	69	3	15	16	1	NA	NA	NA	67.5	85	4
PREPL	ENSG00000138078.11	protein_coding	47	65.5	2	20.5	27.5	1	NA	NA	NA	67.5	93	3
RPL22	ENSG00000116251.5	protein_coding	NA	NA	NA	51.5	69	1	NA	NA	NA	67.5	91	2
SIL1	ENSG00000120725.8	protein_coding	67.5	101	4	NA	NA	NA	NA	NA	NA	67.5	101	4
TCF20	ENSG00000100207.14	protein_coding	67.5	92	1	NA	NA	NA	NA	NA	NA	67.5	92	1
DDX17	ENSG00000100201.14	protein_coding	25	38.5	2	37.5	44	3	4.5	5	1	67	87.5	6
GM2A	ENSG00000196743.4	protein_coding	46	59.5	1	10	21	2	NA	NA	NA	67	96	4
LTBP3	ENSG00000168056.10	protein_coding	67	102	5	NA	NA	NA	NA	NA	NA	67	102	5
ORMDL2	ENSG00000123353.5	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	102.5	2
RFT1	ENSG00000163933.5	protein_coding	67	88.5	3	NA	NA	NA	NA	NA	NA	67	88.5	3
SLC41A2	ENSG00000136052.5	protein_coding	67	91	3	NA	NA	NA	NA	NA	NA	67	91	3
TMEM19	ENSG00000139291.9	protein_coding	NA	NA	NA	19	22	1	10	14.5	1	67	91.5	3
AP2A1	ENSG00000196961.8	protein_coding	66.5	101	5	NA	NA	NA	NA	NA	NA	66.5	101	5
CNPY3	ENSG00000137161.12	protein_coding	NA	NA	NA	32	48	3	NA	NA	NA	66.5	97	5
MRPL42	ENSG00000198015.8	protein_coding	51	71.5	3	6.5	12	1	9	12	1	66.5	95.5	5
SAR1B	ENSG00000152700.9	protein_coding	15.5	22	1	NA	NA	NA	NA	NA	NA	66.5	90	3
TPM3	ENSG00000143549.15	protein_coding	NA	NA	NA	34	38	1	NA	NA	NA	66.5	92.5	2
HDAC2	ENSG00000196591.7	protein_coding	29	38	4	37	50.5	2	NA	NA	NA	66	88.5	6
NOC2L	ENSG00000188976.6	protein_coding	66	81	6	NA	NA	NA	NA	NA	NA	66	81	6
NPEPPS	ENSG00000141279.11	protein_coding	66	94	1	NA	NA	NA	NA	NA	NA	66	94	1
PCYOX1	ENSG00000116005.7	protein_coding	59.5	86.5	3	6.5	10	1	NA	NA	NA	66	96.5	4
RUVBL2	ENSG00000183207.8	protein_coding	58.5	77	3	NA	NA	NA	NA	NA	NA	66	85	4
SESN3	ENSG00000149212.6	protein_coding	NA	NA	NA	64	67	3	2	8.5	1	66	75.5	4
SF3B1	ENSG00000115524.11	protein_coding	66	89.5	6	NA	NA	NA	NA	NA	NA	66	89.5	6
SQLE	ENSG00000104549.7	protein_coding	47.5	73.5	3	18.5	21	1	NA	NA	NA	66	94.5	4
TSPAN33	ENSG00000158457.4	protein_coding	61	104.5	4	5	7	1	NA	NA	NA	66	111.5	5
ATP6V1F	ENSG00000128524.4	protein_coding	NA	NA	NA	35.5	54.5	1	NA	NA	NA	65.5	97	2
DCP2	ENSG00000172795.11	protein_coding	29.5	44	1	20	24.5	2	16	23	2	65.5	91.5	5
ME1	ENSG00000065833.7	protein_coding	4	6	1	NA	NA	NA	24.5	28	1	65.5	90	4
PPP2R5D	ENSG00000112640.10	protein_coding	19.5	28.5	2	46	58.5	2	NA	NA	NA	65.5	87	4
TOM1L1	ENSG00000141198.9	protein_coding	65.5	91	2	NA	NA	NA	NA	NA	NA	65.5	91	2
UNC50	ENSG00000115446.7	protein_coding	65.5	82.5	5	NA	NA	NA	NA	NA	NA	65.5	82.5	5
CPSF6	ENSG00000111605.12	protein_coding	65	81.5	4	NA	NA	NA	NA	NA	NA	65	81.5	4
HIST1H2BM	ENSG00000196374.5	protein_coding	65	171.5	1	NA	NA	NA	NA	NA	NA	65	171.5	1
MESDC2	ENSG00000117899.6	protein_coding	65	82.5	2	NA	NA	NA	NA	NA	NA	65	82.5	2
XXYLT1	ENSG00000173950.11	protein_coding	65	97.5	1	NA	NA	NA	NA	NA	NA	65	97.5	1
H2AFY	ENSG00000113648.12	protein_coding	53	72	5	11.5	15	1	NA	NA	NA	64.5	87	6
MRPL4	ENSG00000105364.9	protein_coding	37	54.5	1	27.5	39.5	1	NA	NA	NA	64.5	94	2
NDUFS8	ENSG00000110717.6	protein_coding	13	14	1	NA	NA	NA	7.5	11.5	1	64.5	87	4
PTPLA	ENSG00000261677.2	protein_coding	64.5	78.5	2	NA	NA	NA	NA	NA	NA	64.5	78.5	2
RBM39	ENSG00000131051.16	protein_coding	NA	NA	NA	NA	NA	NA	64.5	82	1	64.5	82	1
SF3A1	ENSG00000099995.14	protein_coding	64.5	96.5	3	NA	NA	NA	NA	NA	NA	64.5	96.5	3
SLC16A14	ENSG00000163053.6	protein_coding	64.5	94	3	NA	NA	NA	NA	NA	NA	64.5	94	3
VAT1	ENSG00000108828.11	protein_coding	26.5	35.5	2	38	49	2	NA	NA	NA	64.5	84.5	4
DBNDD2	ENSG00000244274.3	protein_coding	NA	NA	NA	26	37	1	NA	NA	NA	64	86	2
PPIG	ENSG00000138398.11	protein_coding	64	103.5	2	NA	NA	NA	NA	NA	NA	64	103.5	2
PRSS23	ENSG00000150687.7	protein_coding	NA	NA	NA	NA	NA	NA	33.5	51.5	1	64	94	2
SRSF7	ENSG00000115875.14	protein_coding	64	101	4	NA	NA	NA	NA	NA	NA	64	101	4
ZFR	ENSG00000056097.11	protein_coding	56	76.5	7	8	9	1	NA	NA	NA	64	85.5	8
ADD3	ENSG00000148700.9	protein_coding	63.5	104.5	5	NA	NA	NA	NA	NA	NA	63.5	104.5	5
CRABP2	ENSG00000143320.4	protein_coding	16.5	20.5	1	32.5	37.5	2	NA	NA	NA	63.5	79.5	4
EIF2S1	ENSG00000134001.8	protein_coding	59	76.5	3	4.5	6	1	NA	NA	NA	63.5	82.5	4
LSM5	ENSG00000106355.5	protein_coding	NA	NA	NA	63.5	96.5	1	NA	NA	NA	63.5	96.5	1
RDH11	ENSG00000072042.8	protein_coding	36.5	52	2	NA	NA	NA	NA	NA	NA	63.5	90	3
CCND2	ENSG00000118971.3	protein_coding	31	40	3	32	44	2	NA	NA	NA	63	84	5
HLTF	ENSG00000071794.11	protein_coding	63	84	3	NA	NA	NA	NA	NA	NA	63	84	3
HNRNPAB	ENSG00000197451.6	protein_coding	18.5	24	1	44.5	58.5	1	NA	NA	NA	63	82.5	2
PABPN1	ENSG00000100836.6	protein_coding	17.5	37	1	NA	NA	NA	NA	NA	NA	63	92.5	2
PTP4A1	ENSG00000112245.6	protein_coding	9.5	14.5	1	23	31.5	2	18	24	3	63	84	7
TMEM192	ENSG00000170088.9	protein_coding	63	102	2	NA	NA	NA	NA	NA	NA	63	102	2
DARS2	ENSG00000117593.8	protein_coding	32.5	45	2	NA	NA	NA	23.5	40	3	62.5	93	6
FLT1	ENSG00000102755.6	protein_coding	43.5	60.5	3	NA	NA	NA	19	27	1	62.5	87.5	4
NDUFA1	ENSG00000125356.6	protein_coding	8.5	9.5	1	14.5	17.5	1	NA	NA	NA	62.5	97.5	3
PTPRG	ENSG00000144724.14	protein_coding	56.5	89	4	NA	NA	NA	NA	NA	NA	62.5	97.5	5
RNY3P2	ENSG00000199788.1	misc_RNA	62.5	66	1	NA	NA	NA	NA	NA	NA	62.5	66	1
RPS20	ENSG00000008988.5	protein_coding	NA	NA	NA	5	5	1	NA	NA	NA	62.5	88.5	3
TMEM173	ENSG00000184584.8	protein_coding	62.5	93.5	2	NA	NA	NA	NA	NA	NA	62.5	93.5	2
AGPAT4	ENSG00000026652.9	protein_coding	NA	NA	NA	NA	NA	NA	62	101	1	62	101	1
C1QL1	ENSG00000131094.3	protein_coding	35	54.5	1	NA	NA	NA	NA	NA	NA	62	90.5	2
CA12	ENSG00000074410.9	protein_coding	62	80.5	3	NA	NA	NA	NA	NA	NA	62	80.5	3
POLR2C	ENSG00000102978.8	protein_coding	2.5	7	1	59.5	68.5	1	NA	NA	NA	62	75.5	2
TMEM254	ENSG00000133678.9	protein_coding	29	37.5	1	33	44	2	NA	NA	NA	62	81.5	3
TMEM258	ENSG00000134825.9	protein_coding	62	78.5	1	NA	NA	NA	NA	NA	NA	62	78.5	1
TMEM56	ENSG00000152078.5	protein_coding	55.5	68	4	NA	NA	NA	NA	NA	NA	62	79	5
AAAS	ENSG00000094914.8	protein_coding	42	68.5	2	NA	NA	NA	NA	NA	NA	61.5	98.5	3
LINGO1	ENSG00000169783.8	protein_coding	61.5	122.5	3	NA	NA	NA	NA	NA	NA	61.5	122.5	3
LRPAP1	ENSG00000163956.6	protein_coding	61.5	101	4	NA	NA	NA	NA	NA	NA	61.5	101	4
NRXN1	ENSG00000179915.16	protein_coding	61.5	117.5	1	NA	NA	NA	NA	NA	NA	61.5	117.5	1
PFKP	ENSG00000067057.12	protein_coding	61.5	97	5	NA	NA	NA	NA	NA	NA	61.5	97	5
SDC2	ENSG00000169439.7	protein_coding	42.5	58	3	NA	NA	NA	2.5	6	1	61.5	84.5	5
AASDHPPT	ENSG00000149313.6	protein_coding	61	83	2	NA	NA	NA	NA	NA	NA	61	83	2
DNAJA3	ENSG00000103423.9	protein_coding	61	97.5	2	NA	NA	NA	NA	NA	NA	61	97.5	2
EXD2	ENSG00000081177.14	protein_coding	46.5	62.5	2	NA	NA	NA	NA	NA	NA	61	88	3
FTO	ENSG00000140718.14	protein_coding	7.5	10.5	1	NA	NA	NA	44.5	59	2	61	83	4
KLHDC3	ENSG00000124702.13	protein_coding	61	77	4	NA	NA	NA	NA	NA	NA	61	77	4
USP1	ENSG00000162607.8	protein_coding	14.5	29.5	1	NA	NA	NA	46.5	65	2	61	94.5	3
CCT2	ENSG00000166226.8	protein_coding	47.5	67	3	NA	NA	NA	NA	NA	NA	60.5	84.5	5
EIF3K	ENSG00000178982.5	protein_coding	38	70.5	2	NA	NA	NA	NA	NA	NA	60.5	104	4
GTF2A2	ENSG00000140307.6	protein_coding	NA	NA	NA	31	38	2	NA	NA	NA	60.5	81.5	3
MCM2	ENSG00000073111.9	protein_coding	28.5	45	3	32	43.5	1	NA	NA	NA	60.5	88.5	4
SLC1A3	ENSG00000079215.9	protein_coding	60.5	80.5	5	NA	NA	NA	NA	NA	NA	60.5	80.5	5
AGPAT9	ENSG00000138678.6	protein_coding	60	72.5	2	NA	NA	NA	NA	NA	NA	60	72.5	2
DNMBP	ENSG00000107554.11	protein_coding	NA	NA	NA	NA	NA	NA	60	62	1	60	62	1
GDE1	ENSG00000006007.7	protein_coding	47	60.5	3	NA	NA	NA	NA	NA	NA	60	74.5	4
GINM1	ENSG00000055211.8	protein_coding	60	88	4	NA	NA	NA	NA	NA	NA	60	88	4
HMBOX1	ENSG00000147421.13	protein_coding	19	23	1	41	59	1	NA	NA	NA	60	82	2
MAN2A2	ENSG00000196547.10	protein_coding	60	87	5	NA	NA	NA	NA	NA	NA	60	87	5
MTHFD2	ENSG00000065911.7	protein_coding	22	26.5	1	19.5	26	2	13	19.5	2	60	79	6
SEC62	ENSG00000008952.12	protein_coding	6	8	1	38.5	91.5	1	NA	NA	NA	60	122	3
SHKBP1	ENSG00000160410.10	protein_coding	60	90	5	NA	NA	NA	NA	NA	NA	60	90	5
ZNF207	ENSG00000010244.12	protein_coding	50.5	77	2	9.5	11.5	1	NA	NA	NA	60	88.5	3
GRAMD1A	ENSG00000089351.10	protein_coding	55.5	98	4	4	6	1	NA	NA	NA	59.5	104	5
KIAA0195	ENSG00000177728.10	protein_coding	59.5	78	6	NA	NA	NA	NA	NA	NA	59.5	78	6
METTL9	ENSG00000197006.9	protein_coding	35	49.5	1	12.5	15	1	12	19	1	59.5	83.5	3
MKLN1	ENSG00000128585.13	protein_coding	NA	NA	NA	NA	NA	NA	59.5	97	2	59.5	97	2
SAMD8	ENSG00000156671.8	protein_coding	14.5	22	1	45	58.5	1	NA	NA	NA	59.5	80.5	2
URI1	ENSG00000105176.13	protein_coding	37.5	53.5	3	NA	NA	NA	7.5	9	1	59.5	80	6
COPS3	ENSG00000141030.8	protein_coding	32.5	53.5	3	NA	NA	NA	NA	NA	NA	59	95.5	4
HSD17B4	ENSG00000133835.10	protein_coding	23	33	4	36	43.5	1	NA	NA	NA	59	76.5	5
LY6E	ENSG00000160932.6	protein_coding	NA	NA	NA	14	16	1	NA	NA	NA	59	78.5	2
MAN2B1	ENSG00000104774.8	protein_coding	52.5	83	7	NA	NA	NA	NA	NA	NA	59	92.5	8
PSMA4	ENSG00000041357.11	protein_coding	NA	NA	NA	49.5	65	2	9.5	15	1	59	80	3
RPS9	ENSG00000170889.9	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	59	86.5	1
RTN2	ENSG00000125744.7	protein_coding	59	87.5	3	NA	NA	NA	NA	NA	NA	59	87.5	3
SLC39A3	ENSG00000141873.6	protein_coding	29	45.5	2	NA	NA	NA	NA	NA	NA	59	88	3
SKI	ENSG00000157933.9	protein_coding	NA	NA	NA	58.5	64	1	NA	NA	NA	58.5	64	1
CYSTM1	ENSG00000120306.5	protein_coding	NA	NA	NA	17	23	1	NA	NA	NA	58	85	2
IFNAR1	ENSG00000142166.8	protein_coding	58	72.5	4	NA	NA	NA	NA	NA	NA	58	72.5	4
NUP133	ENSG00000069248.9	protein_coding	58	78	4	NA	NA	NA	NA	NA	NA	58	78	4
NUP93	ENSG00000102900.8	protein_coding	58	82.5	2	NA	NA	NA	NA	NA	NA	58	82.5	2
RPL15	ENSG00000174748.14	protein_coding	NA	NA	NA	58	89.5	2	NA	NA	NA	58	89.5	2
ARSA	ENSG00000100299.13	protein_coding	57.5	85.5	3	NA	NA	NA	NA	NA	NA	57.5	85.5	3
CARM1	ENSG00000142453.7	protein_coding	19	35.5	3	NA	NA	NA	NA	NA	NA	57.5	98.5	4
CTH	ENSG00000116761.7	protein_coding	NA	NA	NA	4.5	7	1	NA	NA	NA	57.5	108	2
HNRNPM	ENSG00000099783.7	protein_coding	50	69	5	NA	NA	NA	NA	NA	NA	57.5	82.5	6
KCTD2	ENSG00000180901.6	protein_coding	NA	NA	NA	NA	NA	NA	57.5	130.5	1	57.5	130.5	1
SCAMP4	ENSG00000227500.5	protein_coding	57.5	76.5	1	NA	NA	NA	NA	NA	NA	57.5	76.5	1
ATP5O	ENSG00000241837.2	protein_coding	37	46	4	NA	NA	NA	NA	NA	NA	57	73.5	5
CPNE1	ENSG00000214078.7	protein_coding	15.5	22	3	41.5	62.5	2	NA	NA	NA	57	84.5	5
FAM57A	ENSG00000167695.10	protein_coding	NA	NA	NA	57	72.5	1	NA	NA	NA	57	72.5	1
P4HTM	ENSG00000178467.13	protein_coding	57	85	6	NA	NA	NA	NA	NA	NA	57	85	6
RBM4	ENSG00000173933.15	protein_coding	NA	NA	NA	21.5	35	1	NA	NA	NA	57	75	2
RNF128	ENSG00000133135.9	protein_coding	57	77.5	2	NA	NA	NA	NA	NA	NA	57	77.5	2
RP11-67A1.2	ENSG00000261864.1	processed_transcript	57	77.5	2	NA	NA	NA	NA	NA	NA	57	77.5	2
SEC31A	ENSG00000138674.12	protein_coding	57	78.5	3	NA	NA	NA	NA	NA	NA	57	78.5	3
STRN4	ENSG00000090372.10	protein_coding	28	40.5	3	29	34.5	1	NA	NA	NA	57	75	4
ATP5J	ENSG00000154723.8	protein_coding	41	49.5	1	NA	NA	NA	NA	NA	NA	56.5	72.5	2
EEF1A1	ENSG00000156508.13	protein_coding	49	72	1	7.5	12.5	1	NA	NA	NA	56.5	84.5	2
KIAA2013	ENSG00000116685.11	protein_coding	33.5	55.5	2	23	31	1	NA	NA	NA	56.5	86.5	3
OOEP	ENSG00000203907.5	protein_coding	56.5	75.5	1	NA	NA	NA	NA	NA	NA	56.5	75.5	1
